mode,seed,k_frac,test_acc,elapsed_sec
non-shuffled,0,0.05,0.8962500691413879,0.9216859340667725
non-shuffled,0,0.1,0.9493750333786011,0.6126570701599121
non-shuffled,0,0.2,0.9583750367164612,0.6411185264587402
non-shuffled,0,0.3,0.9576250314712524,0.7252509593963623
non-shuffled,0,0.4,0.9602500200271606,0.9634368419647217
non-shuffled,0,0.5,0.9626250267028809,1.0600204467773438
non-shuffled,1,0.05,0.9460000395774841,0.58388352394104
non-shuffled,1,0.1,0.952750027179718,0.6612136363983154
non-shuffled,1,0.2,0.9627500176429749,0.6686558723449707
non-shuffled,1,0.3,0.9606250524520874,0.7212326526641846
non-shuffled,1,0.4,0.9665000438690186,0.8487904071807861
non-shuffled,1,0.5,0.9646250605583191,0.9176552295684814
non-shuffled,2,0.05,0.936750054359436,0.5509436130523682
non-shuffled,2,0.1,0.9260000586509705,0.6019554138183594
non-shuffled,2,0.2,0.9601250290870667,0.6495966911315918
non-shuffled,2,0.3,0.9610000252723694,0.7764928340911865
non-shuffled,2,0.4,0.9648750424385071,0.8011002540588379
non-shuffled,2,0.5,0.9637500643730164,0.8973314762115479
non-shuffled,3,0.05,0.9317500591278076,0.5907917022705078
non-shuffled,3,0.1,0.9477500319480896,1.300560474395752
non-shuffled,3,0.2,0.9606250524520874,1.189640998840332
non-shuffled,3,0.3,0.9636250734329224,0.7571566104888916
non-shuffled,3,0.4,0.9650000333786011,0.859138011932373
non-shuffled,3,0.5,0.9612500667572021,0.9468610286712646
non-shuffled,4,0.05,0.9268750548362732,0.5329282283782959
non-shuffled,4,0.1,0.9487500190734863,0.6046810150146484
non-shuffled,4,0.2,0.9581250548362732,0.6681537628173828
non-shuffled,4,0.3,0.9622500538825989,0.794621467590332
non-shuffled,4,0.4,0.9628750681877136,0.8213913440704346
non-shuffled,4,0.5,0.9637500643730164,0.9455513954162598
non-shuffled,5,0.05,0.9321250319480896,0.5744442939758301
non-shuffled,5,0.1,0.9553750157356262,0.6534993648529053
non-shuffled,5,0.2,0.955500066280365,0.7402060031890869
non-shuffled,5,0.3,0.9591250419616699,0.8296234607696533
non-shuffled,5,0.4,0.9611250162124634,0.8589527606964111
non-shuffled,5,0.5,0.9635000228881836,0.9648497104644775
non-shuffled,6,0.05,0.9361250400543213,0.6454629898071289
non-shuffled,6,0.1,0.9475000500679016,1.5782604217529297
non-shuffled,6,0.2,0.9440000653266907,0.7299337387084961
non-shuffled,6,0.3,0.9622500538825989,0.8601837158203125
non-shuffled,6,0.4,0.9570000171661377,0.942530632019043
non-shuffled,6,0.5,0.9631250500679016,0.9942440986633301
non-shuffled,7,0.05,0.9410000443458557,0.5753171443939209
non-shuffled,7,0.1,0.955625057220459,0.5785219669342041
non-shuffled,7,0.2,0.9638750553131104,0.622065544128418
non-shuffled,7,0.3,0.9653750658035278,0.809211015701294
non-shuffled,7,0.4,0.9648750424385071,0.8171844482421875
non-shuffled,7,0.5,0.9641250371932983,0.8938238620758057
non-shuffled,8,0.05,0.9281250238418579,0.49108052253723145
non-shuffled,8,0.1,0.9396250247955322,0.5464024543762207
non-shuffled,8,0.2,0.9593750238418579,0.664454460144043
non-shuffled,8,0.3,0.9617500305175781,0.7195641994476318
non-shuffled,8,0.4,0.9616250395774841,0.8365321159362793
non-shuffled,8,0.5,0.9641250371932983,0.9350025653839111
non-shuffled,9,0.05,0.9342500567436218,0.5665299892425537
non-shuffled,9,0.1,0.952375054359436,0.5681414604187012
non-shuffled,9,0.2,0.9477500319480896,0.7526311874389648
non-shuffled,9,0.3,0.9601250290870667,1.1495132446289062
non-shuffled,9,0.4,0.9628750681877136,0.8414516448974609
non-shuffled,9,0.5,0.9631250500679016,0.8892660140991211
shuffled,0,0.05,0.9272500276565552,0.8133625984191895
shuffled,0,0.1,0.9460000395774841,0.611100435256958
shuffled,0,0.2,0.9591250419616699,0.67205810546875
shuffled,0,0.3,0.9642500281333923,0.7761027812957764
shuffled,0,0.4,0.9637500643730164,0.8152639865875244
shuffled,0,0.5,0.9640000462532043,0.8932280540466309
shuffled,1,0.05,0.9295000433921814,0.5380728244781494
shuffled,1,0.1,0.9516250491142273,0.49843406677246094
shuffled,1,0.2,0.9578750729560852,1.7885727882385254
shuffled,1,0.3,0.9617500305175781,0.8029661178588867
shuffled,1,0.4,0.9627500176429749,0.8647162914276123
shuffled,1,0.5,0.9642500281333923,0.858210563659668
shuffled,2,0.05,0.9293750524520874,0.4834258556365967
shuffled,2,0.1,0.9510000348091125,0.5790114402770996
shuffled,2,0.2,0.9597500562667847,0.6103763580322266
shuffled,2,0.3,0.9613750576972961,0.7263734340667725
shuffled,2,0.4,0.9645000696182251,0.8228504657745361
shuffled,2,0.5,0.9643750190734863,0.8576605319976807
shuffled,3,0.05,0.9326250553131104,0.5258548259735107
shuffled,3,0.1,0.9456250667572021,0.5774431228637695
shuffled,3,0.2,0.9575000405311584,0.6316406726837158
shuffled,3,0.3,0.9630000591278076,0.7552173137664795
shuffled,3,0.4,0.9647500514984131,0.7928802967071533
shuffled,3,0.5,0.9630000591278076,0.8836057186126709
shuffled,4,0.05,0.936625063419342,0.5367181301116943
shuffled,4,0.1,0.952875018119812,0.5566895008087158
shuffled,4,0.2,0.9580000638961792,0.6187546253204346
shuffled,4,0.3,0.9643750190734863,1.291269063949585
shuffled,4,0.4,0.9620000720024109,0.8750326633453369
shuffled,4,0.5,0.9632500410079956,0.9442918300628662
shuffled,5,0.05,0.92125004529953,0.5466053485870361
shuffled,5,0.1,0.9451250433921814,0.5838630199432373
shuffled,5,0.2,0.9585000276565552,0.624873161315918
shuffled,5,0.3,0.9640000462532043,0.718329906463623
shuffled,5,0.4,0.9623750448226929,0.7594602108001709
shuffled,5,0.5,0.9647500514984131,0.8753499984741211
shuffled,6,0.05,0.924250066280365,0.5683085918426514
shuffled,6,0.1,0.9413750171661377,0.5957233905792236
shuffled,6,0.2,0.9595000743865967,0.6619405746459961
shuffled,6,0.3,0.9638750553131104,0.7309002876281738
shuffled,6,0.4,0.9605000615119934,0.8019630908966064
shuffled,6,0.5,0.9623750448226929,0.8775177001953125
shuffled,7,0.05,0.9268750548362732,0.5608267784118652
shuffled,7,0.1,0.9475000500679016,0.6737966537475586
shuffled,7,0.2,0.9602500200271606,0.6330299377441406
shuffled,7,0.3,0.9620000720024109,0.7070181369781494
shuffled,7,0.4,0.9633750319480896,0.7763936519622803
shuffled,7,0.5,0.9641250371932983,1.4447910785675049
shuffled,8,0.05,0.921500027179718,0.6119389533996582
shuffled,8,0.1,0.9501250386238098,0.5578269958496094
shuffled,8,0.2,0.9590000510215759,0.5913112163543701
shuffled,8,0.3,0.9607500433921814,0.7427470684051514
shuffled,8,0.4,0.9621250629425049,0.816990852355957
shuffled,8,0.5,0.9651250243186951,0.9086551666259766
shuffled,9,0.05,0.9317500591278076,0.5769989490509033
shuffled,9,0.1,0.9446250200271606,0.6612215042114258
shuffled,9,0.2,0.9592500329017639,0.6211304664611816
shuffled,9,0.3,0.9643750190734863,0.7437148094177246
shuffled,9,0.4,0.9656250476837158,0.8620824813842773
shuffled,9,0.5,0.9650000333786011,0.9042081832885742
