mode,k_frac,mean,std,sem,ci_lo,ci_hi,n
non-shuffled,0.05,0.9309250473976135,0.013455707445054858,0.004255068305525832,0.9212994141518348,0.9405506806433922,10
non-shuffled,0.1,0.9475125372409821,0.008874203078827376,0.002806269414797326,0.9411643147833999,0.9538607596985642,10
non-shuffled,0.2,0.9570500433444977,0.006401545658888985,0.0020243464827652503,0.9524706534484119,0.9616294332405836,10
non-shuffled,0.3,0.9613750457763672,0.002214233580576243,0.0007002021386250893,0.9597910784930307,0.9629590130597038,10
non-shuffled,0.4,0.9627000391483307,0.0028162568519963594,0.0008905786128364212,0.9606854103602182,0.9647146679364432,10
non-shuffled,0.5,0.9634000480175018,0.0009534275833685461,0.00030150027474746784,0.9627180070113793,0.9640820890236242,10
shuffled,0.05,0.928100049495697,0.004916955897361286,0.0015548779790258759,0.9245826711380796,0.9316174278533145,10
shuffled,0.1,0.947587537765503,0.0036841687168149605,0.0011650364429475154,0.9449520422311032,0.9502230332999028,10
shuffled,0.2,0.958875048160553,0.0008858401540623369,0.0002801272529671443,0.9582413562887427,0.9595087400323633,10
shuffled,0.3,0.9629750430583954,0.0013891857324990556,0.00043929910077064095,0.9619812794509518,0.9639688066658391,10
shuffled,0.4,0.9631750524044037,0.001530021785702103,0.0004838353712496692,0.9620805407536891,0.9642695640551183,10
shuffled,0.5,0.9640250384807587,0.0008971338133619439,0.00028369862161761435,0.9633832676117746,0.9646668093497428,10
