mode,seed,k_frac,test_acc,elapsed_sec
original,0,0.05,0.9611250162124634,0.7195444107055664
original,0,0.1,0.9718750715255737,0.44306421279907227
original,0,0.15,0.9643750190734863,0.42385315895080566
original,0,0.2,0.971750020980835,0.4470093250274658
original,0,0.25,0.9706250429153442,0.48658084869384766
original,0,0.3,0.971500039100647,0.5522785186767578
original,0,0.35,0.9793750643730164,0.5915317535400391
original,0,0.4,0.9793750643730164,0.6277492046356201
original,0,0.45,0.9756250381469727,0.697688102722168
original,0,0.5,0.9783750176429749,0.7237675189971924
original,0,0.55,0.9761250615119934,0.8161334991455078
original,0,0.6,0.9765000343322754,0.9238340854644775
original,0,0.65,0.9770000576972961,0.9967291355133057
original,0,0.7,0.9752500653266907,1.0749964714050293
original,0,0.75,0.9731250405311584,0.9948873519897461
original,0,0.8,0.9723750352859497,1.2391352653503418
original,0,0.85,0.9743750691413879,1.32863187789917
original,0,0.9,0.9698750376701355,1.4244136810302734
original,0,0.95,0.9700000286102295,1.6482234001159668
original,0,1.0,0.9745000600814819,1.5694959163665771
original,1,0.05,0.9207500219345093,0.3636789321899414
original,1,0.1,0.9743750691413879,0.4002249240875244
original,1,0.15,0.9766250252723694,0.39206480979919434
original,1,0.2,0.9760000705718994,0.42951226234436035
original,1,0.25,0.9772500395774841,0.683220386505127
original,1,0.3,0.9768750667572021,0.8057630062103271
original,1,0.35,0.9791250228881836,0.936560869216919
original,1,0.4,0.9793750643730164,0.8636112213134766
original,1,0.45,0.9780000448226929,0.935948371887207
original,1,0.5,0.9780000448226929,0.9405617713928223
original,1,0.55,0.9732500314712524,1.2237277030944824
original,1,0.6,0.9773750305175781,1.198169469833374
original,1,0.65,0.9740000367164612,1.218271017074585
original,1,0.7,0.9773750305175781,1.2907767295837402
original,1,0.75,0.9765000343322754,1.784487009048462
original,1,0.8,0.9772500395774841,1.2870206832885742
original,1,0.85,0.9758750200271606,1.3808445930480957
original,1,0.9,0.9751250743865967,1.4507331848144531
original,1,0.95,0.971500039100647,1.595839500427246
original,1,1.0,0.9745000600814819,1.4971847534179688
original,2,0.05,0.9433750510215759,0.3448507785797119
original,2,0.1,0.908750057220459,0.39739298820495605
original,2,0.15,0.9587500691413879,0.3789100646972656
original,2,0.2,0.9757500290870667,0.4263722896575928
original,2,0.25,0.9780000448226929,0.4554257392883301
original,2,0.3,0.9790000319480896,0.5298299789428711
original,2,0.35,0.9565000534057617,0.5775737762451172
original,2,0.4,0.9726250171661377,0.604069709777832
original,2,0.45,0.9746250510215759,0.6849172115325928
original,2,0.5,0.9573750495910645,0.6910297870635986
original,2,0.55,0.9623750448226929,0.8267700672149658
original,2,0.6,0.9738750457763672,0.8857614994049072
original,2,0.65,0.9723750352859497,0.9403119087219238
original,2,0.7,0.9768750667572021,1.0456550121307373
original,2,0.75,0.9742500185966492,1.0027110576629639
original,2,0.8,0.9723750352859497,1.2178897857666016
original,2,0.85,0.9726250171661377,1.3323109149932861
original,2,0.9,0.9688750505447388,1.4520936012268066
original,2,0.95,0.9698750376701355,1.5759170055389404
original,2,1.0,0.9745000600814819,1.5001115798950195
original,3,0.05,0.9348750710487366,0.34662604331970215
original,3,0.1,0.971375048160553,0.36959338188171387
original,3,0.15,0.9745000600814819,0.39461350440979004
original,3,0.2,0.9745000600814819,0.42575788497924805
original,3,0.25,0.9730000495910645,0.4534413814544678
original,3,0.3,0.9743750691413879,0.5305593013763428
original,3,0.35,0.9577500224113464,0.5936558246612549
original,3,0.4,0.971500039100647,0.6086993217468262
original,3,0.45,0.9596250653266907,0.6816933155059814
original,3,0.5,0.9746250510215759,0.6817307472229004
original,3,0.55,0.968000054359436,0.811631441116333
original,3,0.6,0.9745000600814819,0.8636350631713867
original,3,0.65,0.9741250276565552,0.9562082290649414
original,3,0.7,0.971625030040741,1.0608148574829102
original,3,0.75,0.9701250195503235,1.0097310543060303
original,3,0.8,0.9741250276565552,1.2098755836486816
original,3,0.85,0.9646250605583191,1.3207738399505615
original,3,0.9,0.9731250405311584,1.431870698928833
original,3,0.95,0.9661250710487366,1.5700194835662842
original,3,1.0,0.9745000600814819,1.503918170928955
original,4,0.05,0.940125048160553,0.3460705280303955
original,4,0.1,0.9655000567436218,0.38053202629089355
original,4,0.15,0.9670000672340393,0.393449068069458
original,4,0.2,0.9731250405311584,0.427706241607666
original,4,0.25,0.9773750305175781,0.45953798294067383
original,4,0.3,0.9760000705718994,0.5211086273193359
original,4,0.35,0.9761250615119934,0.5955829620361328
original,4,0.4,0.9740000367164612,0.6238200664520264
original,4,0.45,0.9780000448226929,0.6776001453399658
original,4,0.5,0.9781250357627869,0.6940517425537109
original,4,0.55,0.9760000705718994,0.8207342624664307
original,4,0.6,0.9735000729560852,0.9003889560699463
original,4,0.65,0.9778750538825989,0.9606623649597168
original,4,0.7,0.9766250252723694,1.0479133129119873
original,4,0.75,0.9746250510215759,1.0022428035736084
original,4,0.8,0.9723750352859497,1.2208797931671143
original,4,0.85,0.9691250324249268,1.3311846256256104
original,4,0.9,0.9666250348091125,1.4280335903167725
original,4,0.95,0.9701250195503235,1.587688684463501
original,4,1.0,0.9745000600814819,1.5008790493011475
original,5,0.05,0.9603750705718994,0.34996533393859863
original,5,0.1,0.9746250510215759,0.40167927742004395
original,5,0.15,0.9783750176429749,0.40157055854797363
original,5,0.2,0.9768750667572021,0.40658092498779297
original,5,0.25,0.9775000214576721,0.4763000011444092
original,5,0.3,0.9777500629425049,0.5235171318054199
original,5,0.35,0.9792500734329224,0.5904436111450195
original,5,0.4,0.9748750329017639,0.6139898300170898
original,5,0.45,0.9763750433921814,0.6921279430389404
original,5,0.5,0.9790000319480896,0.6979515552520752
original,5,0.55,0.9738750457763672,0.8103172779083252
original,5,0.6,0.9787500500679016,0.8918747901916504
original,5,0.65,0.9767500758171082,0.9471023082733154
original,5,0.7,0.9778750538825989,1.0580804347991943
original,5,0.75,0.9757500290870667,1.0180997848510742
original,5,0.8,0.9741250276565552,1.2315847873687744
original,5,0.85,0.9626250267028809,1.335810899734497
original,5,0.9,0.9647500514984131,1.429417610168457
original,5,0.95,0.9687500596046448,1.5746350288391113
original,5,1.0,0.9745000600814819,1.5086495876312256
original,6,0.05,0.924875020980835,0.3463571071624756
original,6,0.1,0.9687500596046448,0.3798232078552246
original,6,0.15,0.9657500386238098,0.4002420902252197
original,6,0.2,0.9771250486373901,0.438077449798584
original,6,0.25,0.9768750667572021,0.5099327564239502
original,6,0.3,0.9763750433921814,0.508842945098877
original,6,0.35,0.9750000238418579,0.5832877159118652
original,6,0.4,0.9752500653266907,0.6113877296447754
original,6,0.45,0.9768750667572021,0.6703286170959473
original,6,0.5,0.9773750305175781,0.6894257068634033
original,6,0.55,0.9762500524520874,0.8135561943054199
original,6,0.6,0.9773750305175781,0.8597402572631836
original,6,0.65,0.9762500524520874,0.9553236961364746
original,6,0.7,0.9745000600814819,1.0535540580749512
original,6,0.75,0.9762500524520874,1.0235183238983154
original,6,0.8,0.9741250276565552,1.2109088897705078
original,6,0.85,0.9743750691413879,1.3406932353973389
original,6,0.9,0.9741250276565552,1.4239404201507568
original,6,0.95,0.9701250195503235,1.5749080181121826
original,6,1.0,0.9745000600814819,1.5065453052520752
original,7,0.05,0.9575000405311584,0.35143208503723145
original,7,0.1,0.9726250171661377,0.3712327480316162
original,7,0.15,0.9648750424385071,0.363663911819458
original,7,0.2,0.9738750457763672,0.4322662353515625
original,7,0.25,0.9743750691413879,0.452059268951416
original,7,0.3,0.9735000729560852,0.523552417755127
original,7,0.35,0.9735000729560852,0.590634822845459
original,7,0.4,0.9732500314712524,0.6006989479064941
original,7,0.45,0.9756250381469727,0.6747972965240479
original,7,0.5,0.9762500524520874,0.7027413845062256
original,7,0.55,0.9757500290870667,0.8041238784790039
original,7,0.6,0.9750000238418579,0.9005796909332275
original,7,0.65,0.9747500419616699,0.9556798934936523
original,7,0.7,0.9780000448226929,1.031895637512207
original,7,0.75,0.9732500314712524,0.988837718963623
original,7,0.8,0.9723750352859497,1.2087652683258057
original,7,0.85,0.9755000472068787,1.3353080749511719
original,7,0.9,0.9701250195503235,1.427727222442627
original,7,0.95,0.9708750247955322,1.568037748336792
original,7,1.0,0.9745000600814819,1.526505708694458
original,8,0.05,0.9542500376701355,0.33659911155700684
original,8,0.1,0.9695000648498535,0.3865697383880615
original,8,0.15,0.9727500677108765,0.387462854385376
original,8,0.2,0.9751250743865967,0.41950058937072754
original,8,0.25,0.9731250405311584,0.48997068405151367
original,8,0.3,0.9740000367164612,0.5344126224517822
original,8,0.35,0.9755000472068787,0.5757334232330322
original,8,0.4,0.9786250591278076,0.6307425498962402
original,8,0.45,0.9772500395774841,0.7117931842803955
original,8,0.5,0.9702500700950623,0.7043564319610596
original,8,0.55,0.9775000214576721,0.804234504699707
original,8,0.6,0.9748750329017639,0.8896994590759277
original,8,0.65,0.9732500314712524,0.9473869800567627
original,8,0.7,0.9752500653266907,1.07124924659729
original,8,0.75,0.971625030040741,1.0224623680114746
original,8,0.8,0.9740000367164612,1.247856616973877
original,8,0.85,0.971375048160553,1.3537850379943848
original,8,0.9,0.9742500185966492,1.430213212966919
original,8,0.95,0.9706250429153442,1.5687308311462402
original,8,1.0,0.9745000600814819,1.5191621780395508
original,9,0.05,0.9653750658035278,0.34737205505371094
original,9,0.1,0.9718750715255737,0.37105536460876465
original,9,0.15,0.9761250615119934,0.39971399307250977
original,9,0.2,0.9797500371932983,0.4792907238006592
original,9,0.25,0.9788750410079956,0.46120500564575195
original,9,0.3,0.9792500734329224,0.5244612693786621
original,9,0.35,0.9762500524520874,0.5829081535339355
original,9,0.4,0.9757500290870667,0.6147687435150146
original,9,0.45,0.9766250252723694,0.6761887073516846
original,9,0.5,0.9770000576972961,0.6854400634765625
original,9,0.55,0.9778750538825989,0.8114864826202393
original,9,0.6,0.9782500267028809,0.8817582130432129
original,9,0.65,0.9771250486373901,0.9650638103485107
original,9,0.7,0.9766250252723694,1.0933201313018799
original,9,0.75,0.9753750562667847,0.9961543083190918
original,9,0.8,0.9746250510215759,1.1998960971832275
original,9,0.85,0.9748750329017639,1.335435390472412
original,9,0.9,0.9750000238418579,1.4287796020507812
original,9,0.95,0.9691250324249268,1.5680179595947266
original,9,1.0,0.9745000600814819,1.4999713897705078
shuffled,0,0.05,0.8526250123977661,0.5736045837402344
shuffled,0,0.1,0.921125054359436,0.4079620838165283
shuffled,0,0.15,0.9570000171661377,0.4314384460449219
shuffled,0,0.2,0.9586250185966492,0.4492347240447998
shuffled,0,0.25,0.9610000252723694,0.4577455520629883
shuffled,0,0.3,0.9647500514984131,0.5273172855377197
shuffled,0,0.35,0.9721250534057617,0.5763685703277588
shuffled,0,0.4,0.9687500596046448,0.6213419437408447
shuffled,0,0.45,0.9750000238418579,0.6659653186798096
shuffled,0,0.5,0.9738750457763672,0.6821341514587402
shuffled,0,0.55,0.9768750667572021,0.8183691501617432
shuffled,0,0.6,0.9748750329017639,0.8765926361083984
shuffled,0,0.65,0.9765000343322754,0.9842958450317383
shuffled,0,0.7,0.9757500290870667,1.059739112854004
shuffled,0,0.75,0.9743750691413879,1.0051133632659912
shuffled,0,0.8,0.9752500653266907,1.218146562576294
shuffled,0,0.85,0.9751250743865967,1.3561890125274658
shuffled,0,0.9,0.9756250381469727,1.4512271881103516
shuffled,0,0.95,0.9752500653266907,1.5873703956604004
