mode,seed,k_frac,test_acc,elapsed_sec
non-shuffled,0,0.05,0.9133750200271606,0.7020184993743896
non-shuffled,0,0.1,0.9533750414848328,0.5484488010406494
non-shuffled,0,0.2,0.9730000495910645,0.5363128185272217
non-shuffled,0,0.3,0.9798750281333923,0.5960922241210938
non-shuffled,0,0.4,0.9821250438690186,0.6100237369537354
non-shuffled,0,0.5,0.9820000529289246,0.6432032585144043
non-shuffled,1,0.05,0.9426250457763672,0.5012540817260742
non-shuffled,1,0.1,0.9538750648498535,0.5760376453399658
non-shuffled,1,0.2,0.971625030040741,0.4949350357055664
non-shuffled,1,0.3,0.9782500267028809,0.5859322547912598
non-shuffled,1,0.4,0.9818750619888306,0.6536116600036621
non-shuffled,1,0.5,0.9820000529289246,1.8849737644195557
non-shuffled,2,0.05,0.9176250696182251,0.45884275436401367
non-shuffled,2,0.1,0.9611250162124634,0.5107376575469971
non-shuffled,2,0.2,0.9731250405311584,0.6072158813476562
non-shuffled,2,0.3,0.9777500629425049,0.6252663135528564
non-shuffled,2,0.4,0.9823750257492065,0.6733620166778564
non-shuffled,2,0.5,0.984000027179718,0.601116418838501
non-shuffled,3,0.05,0.9471250176429749,0.39037370681762695
non-shuffled,3,0.1,0.9532500505447388,1.0200798511505127
non-shuffled,3,0.2,0.9745000600814819,0.3723151683807373
non-shuffled,3,0.3,0.9776250720024109,0.4113337993621826
non-shuffled,3,0.4,0.9793750643730164,0.45604920387268066
non-shuffled,3,0.5,0.9823750257492065,0.4180586338043213
non-shuffled,4,0.05,0.9347500205039978,0.357863187789917
non-shuffled,4,0.1,0.9612500667572021,0.3262968063354492
non-shuffled,4,0.2,0.9747500419616699,0.3451499938964844
non-shuffled,4,0.3,0.9796250462532043,0.335235595703125
non-shuffled,4,0.4,0.9830000400543213,0.4249539375305176
non-shuffled,4,0.5,0.9828750491142273,0.4418368339538574
non-shuffled,5,0.05,0.9472500681877136,0.3368518352508545
non-shuffled,5,0.1,0.9570000171661377,0.33408045768737793
non-shuffled,5,0.2,0.9743750691413879,0.37528157234191895
non-shuffled,5,0.3,0.9782500267028809,0.38196873664855957
non-shuffled,5,0.4,0.9808750748634338,0.3982987403869629
non-shuffled,5,0.5,0.9812500476837158,0.3935270309448242
non-shuffled,6,0.05,0.9353750348091125,0.29015326499938965
non-shuffled,6,0.1,0.9515000581741333,0.30896997451782227
non-shuffled,6,0.2,0.971375048160553,0.3181276321411133
non-shuffled,6,0.3,0.9792500734329224,0.36666202545166016
non-shuffled,6,0.4,0.9806250333786011,0.3711240291595459
non-shuffled,6,0.5,0.983375072479248,0.43783998489379883
non-shuffled,7,0.05,0.9417500495910645,0.2746303081512451
non-shuffled,7,0.1,0.9642500281333923,0.31249237060546875
non-shuffled,7,0.2,0.9741250276565552,0.3674592971801758
non-shuffled,7,0.3,0.9786250591278076,0.38904428482055664
non-shuffled,7,0.4,0.9827500581741333,0.4100801944732666
non-shuffled,7,0.5,0.9826250672340393,0.44260740280151367
non-shuffled,8,0.05,0.9172500371932983,0.5404956340789795
non-shuffled,8,0.1,0.9657500386238098,0.5962209701538086
non-shuffled,8,0.2,0.9726250171661377,0.5579302310943604
non-shuffled,8,0.3,0.9797500371932983,0.5642004013061523
non-shuffled,8,0.4,0.9811250567436218,0.6832504272460938
non-shuffled,8,0.5,0.9832500219345093,0.6819479465484619
non-shuffled,9,0.05,0.9395000338554382,0.5920722484588623
non-shuffled,9,0.1,0.9531250596046448,0.530346155166626
non-shuffled,9,0.2,0.9757500290870667,0.636162281036377
non-shuffled,9,0.3,0.9776250720024109,0.5712466239929199
non-shuffled,9,0.4,0.9811250567436218,0.6639151573181152
non-shuffled,9,0.5,0.9831250309944153,0.6580710411071777
shuffled,0,0.05,0.9267500638961792,2.167266368865967
shuffled,0,0.1,0.9650000333786011,0.5629773139953613
shuffled,0,0.2,0.9767500758171082,0.5616559982299805
shuffled,0,0.3,0.9790000319480896,0.5777394771575928
shuffled,0,0.4,0.9823750257492065,0.7031021118164062
shuffled,0,0.5,0.9823750257492065,0.7435882091522217
shuffled,1,0.05,0.9361250400543213,0.5268096923828125
shuffled,1,0.1,0.9640000462532043,0.5471441745758057
shuffled,1,0.2,0.9767500758171082,0.6772730350494385
shuffled,1,0.3,0.9805000424385071,0.6581156253814697
shuffled,1,0.4,0.9826250672340393,0.7179949283599854
shuffled,1,0.5,0.9826250672340393,0.7577946186065674
shuffled,2,0.05,0.9317500591278076,0.5843753814697266
shuffled,2,0.1,0.9640000462532043,0.5979499816894531
shuffled,2,0.2,0.9763750433921814,0.6487033367156982
shuffled,2,0.3,0.9810000658035278,0.6481888294219971
shuffled,2,0.4,0.9831250309944153,0.7006354331970215
shuffled,2,0.5,0.9825000762939453,0.7657363414764404
shuffled,3,0.05,0.9313750267028809,0.5753746032714844
shuffled,3,0.1,0.9622500538825989,0.5861117839813232
shuffled,3,0.2,0.9751250743865967,0.7240042686462402
shuffled,3,0.3,0.9795000553131104,1.4270493984222412
shuffled,3,0.4,0.9816250205039978,0.7002477645874023
shuffled,3,0.5,0.9821250438690186,0.7793021202087402
shuffled,4,0.05,0.924250066280365,0.5658214092254639
shuffled,4,0.1,0.9590000510215759,0.56758713722229
shuffled,4,0.2,0.9755000472068787,0.6620519161224365
shuffled,4,0.3,0.9798750281333923,0.7179641723632812
shuffled,4,0.4,0.9822500348091125,0.7780590057373047
shuffled,4,0.5,0.9832500219345093,0.7836980819702148
shuffled,5,0.05,0.939875066280365,0.6315066814422607
shuffled,5,0.1,0.9606250524520874,0.578305721282959
shuffled,5,0.2,0.9756250381469727,0.7382457256317139
shuffled,5,0.3,0.9791250228881836,0.7450339794158936
shuffled,5,0.4,0.9827500581741333,0.7528204917907715
shuffled,5,0.5,0.9830000400543213,0.7274665832519531
shuffled,6,0.05,0.9333750605583191,0.5676345825195312
shuffled,6,0.1,0.9575000405311584,0.6048924922943115
shuffled,6,0.2,0.9760000705718994,0.6394486427307129
shuffled,6,0.3,0.9796250462532043,0.6679055690765381
shuffled,6,0.4,0.9813750386238098,0.7042064666748047
shuffled,6,0.5,0.983375072479248,1.4297521114349365
shuffled,7,0.05,0.9147500395774841,0.6018276214599609
