mode,k_frac,mean,std,sem,ci_lo,ci_hi,n
non-shuffled,0.05,0.9336625397205353,0.01285793877476837,0.004066037254326279,0.9244645244212294,0.9428605550198411,10
non-shuffled,0.1,0.9574500441551208,0.005211224004582236,0.0016479337251823604,0.9537221590747907,0.9611779292354509,10
non-shuffled,0.2,0.9735250413417816,0.0014127421520321684,0.0004467482946949526,0.9725144264869446,0.9745356561966186,10
non-shuffled,0.3,0.9786625504493713,0.0008976156545162978,0.00028385099316943064,0.9780204348919899,0.9793046660067528,10
non-shuffled,0.4,0.9815250515937806,0.0011083584207646762,0.000350493707344364,0.9807321797431762,0.982317923444385,10
non-shuffled,0.5,0.9826875448226928,0.00080632889485332,0.0002549835850942912,0.9821107318792616,0.9832643577661241,10
shuffled,0.05,0.9293750524520874,0.007097049071107221,0.002244283973068111,0.9242981293869327,0.9344519755172421,10
shuffled,0.1,0.9620125472545624,0.002955358625351547,0.0009345664558735127,0.9598984110522449,0.9641266834568799,10
shuffled,0.2,0.9757250607013702,0.0008032100394657946,0.0002539973164225645,0.9751504788526792,0.9762996425500612,10
shuffled,0.3,0.9798875510692596,0.0007179592014209986,0.00022703863435659535,0.9793739539963052,0.980401148142214,10
shuffled,0.4,0.9821375429630279,0.0005756968777526824,0.0001820513375545994,0.9817257142257716,0.9825493717002842,10
shuffled,0.5,0.9827125430107116,0.0006010702944422594,0.0001900751164305587,0.982282563224598,0.9831425227968253,10
