mode,seed,k_frac,test_acc,elapsed_sec
non-shuffled,0,0.05,0.9306250214576721,0.7727305889129639
non-shuffled,0,0.1,0.9602500200271606,0.5923302173614502
non-shuffled,0,0.2,0.9770000576972961,0.575413703918457
non-shuffled,0,0.3,0.9811250567436218,0.6311719417572021
non-shuffled,0,0.4,0.9826250672340393,0.6960136890411377
non-shuffled,0,0.5,0.984000027179718,0.6938080787658691
non-shuffled,1,0.05,0.9352500438690186,0.5620183944702148
non-shuffled,1,0.1,0.9625000357627869,0.5430252552032471
non-shuffled,1,0.2,0.9782500267028809,0.5938599109649658
non-shuffled,1,0.3,0.9806250333786011,0.6034982204437256
non-shuffled,1,0.4,0.9832500219345093,0.6800961494445801
non-shuffled,1,0.5,0.9825000762939453,0.7498946189880371
non-shuffled,2,0.05,0.924625039100647,1.3950283527374268
non-shuffled,2,0.1,0.9565000534057617,0.6258957386016846
non-shuffled,2,0.2,0.9747500419616699,0.6700332164764404
non-shuffled,2,0.3,0.9795000553131104,0.7321159839630127
non-shuffled,2,0.4,0.9825000762939453,0.7799398899078369
non-shuffled,2,0.5,0.98375004529953,0.7625432014465332
non-shuffled,3,0.05,0.9327500462532043,0.5795493125915527
non-shuffled,3,0.1,0.9588750600814819,0.5731909275054932
non-shuffled,3,0.2,0.9752500653266907,0.6534090042114258
non-shuffled,3,0.3,0.9802500605583191,0.6964116096496582
non-shuffled,3,0.4,0.9821250438690186,0.7341933250427246
non-shuffled,3,0.5,0.9831250309944153,0.7059586048126221
non-shuffled,4,0.05,0.9290000200271606,0.5671250820159912
non-shuffled,4,0.1,0.9640000462532043,0.5711069107055664
non-shuffled,4,0.2,0.9757500290870667,0.5966112613677979
non-shuffled,4,0.3,0.9806250333786011,0.6471776962280273
non-shuffled,4,0.4,0.9818750619888306,0.6197152137756348
non-shuffled,4,0.5,0.9825000762939453,0.6773312091827393
non-shuffled,5,0.05,0.9238750338554382,0.5393199920654297
non-shuffled,5,0.1,0.9615000486373901,0.5933699607849121
non-shuffled,5,0.2,0.9776250720024109,0.6738619804382324
non-shuffled,5,0.3,0.9793750643730164,1.304687261581421
non-shuffled,5,0.4,0.9818750619888306,0.6688601970672607
non-shuffled,5,0.5,0.9830000400543213,0.7701356410980225
non-shuffled,6,0.05,0.9290000200271606,0.5115652084350586
non-shuffled,6,0.1,0.955750048160553,0.5248193740844727
non-shuffled,6,0.2,0.9755000472068787,0.6515884399414062
non-shuffled,6,0.3,0.9800000190734863,0.6293823719024658
non-shuffled,6,0.4,0.9826250672340393,0.6795973777770996
non-shuffled,6,0.5,0.983625054359436,0.7388174533843994
non-shuffled,7,0.05,0.9266250729560852,0.5521399974822998
non-shuffled,7,0.1,0.9622500538825989,0.5203354358673096
non-shuffled,7,0.2,0.9763750433921814,0.6153428554534912
non-shuffled,7,0.3,0.9820000529289246,0.5808789730072021
non-shuffled,7,0.4,0.9818750619888306,0.6412403583526611
non-shuffled,7,0.5,0.9846250414848328,0.7658195495605469
non-shuffled,8,0.05,0.9225000143051147,0.5887272357940674
non-shuffled,8,0.1,0.9612500667572021,0.5344679355621338
non-shuffled,8,0.2,0.9766250252723694,0.6268537044525146
non-shuffled,8,0.3,0.9798750281333923,0.5997686386108398
non-shuffled,8,0.4,0.9825000762939453,0.697498083114624
non-shuffled,8,0.5,0.9821250438690186,0.7133228778839111
non-shuffled,9,0.05,0.9416250586509705,0.5527229309082031
non-shuffled,9,0.1,0.9618750214576721,0.5567400455474854
non-shuffled,9,0.2,0.9721250534057617,1.4211068153381348
non-shuffled,9,0.3,0.9797500371932983,0.767535924911499
non-shuffled,9,0.4,0.9818750619888306,0.7287473678588867
non-shuffled,9,0.5,0.9830000400543213,0.7274186611175537
shuffled,0,0.05,0.9260000586509705,0.7906866073608398
shuffled,0,0.1,0.9622500538825989,0.5334296226501465
shuffled,0,0.2,0.9747500419616699,0.5521399974822998
shuffled,0,0.3,0.9790000319480896,0.5822806358337402
shuffled,0,0.4,0.9825000762939453,0.631502628326416
shuffled,0,0.5,0.9822500348091125,0.6725261211395264
shuffled,1,0.05,0.9313750267028809,0.4991593360900879
shuffled,1,0.1,0.9591250419616699,0.5596418380737305
shuffled,1,0.2,0.9766250252723694,1.6061949729919434
shuffled,1,0.3,0.9793750643730164,0.692004919052124
shuffled,1,0.4,0.9831250309944153,0.6828138828277588
shuffled,1,0.5,0.983375072479248,0.666370153427124
shuffled,2,0.05,0.9355000257492065,0.4938051700592041
shuffled,2,0.1,0.9632500410079956,0.5255093574523926
shuffled,2,0.2,0.9757500290870667,0.6253743171691895
shuffled,2,0.3,0.9796250462532043,0.5841715335845947
shuffled,2,0.4,0.9827500581741333,0.6233911514282227
shuffled,2,0.5,0.983625054359436,0.6729085445404053
shuffled,3,0.05,0.940500020980835,0.5402772426605225
shuffled,3,0.1,0.9643750190734863,0.565030574798584
shuffled,3,0.2,0.9748750329017639,0.541938066482544
shuffled,3,0.3,0.9808750748634338,0.6073093414306641
shuffled,3,0.4,0.9821250438690186,0.7480196952819824
shuffled,3,0.5,0.983875036239624,0.7237052917480469
shuffled,4,0.05,0.9330000281333923,0.47515201568603516
shuffled,4,0.1,0.9656250476837158,0.5444045066833496
shuffled,4,0.2,0.9746250510215759,0.5716769695281982
shuffled,4,0.3,0.9805000424385071,0.5695722103118896
shuffled,4,0.4,0.9816250205039978,0.678278923034668
shuffled,4,0.5,0.9821250438690186,0.7908463478088379
shuffled,5,0.05,0.9260000586509705,0.7720382213592529
shuffled,5,0.1,0.9575000405311584,1.061171531677246
shuffled,5,0.2,0.9733750224113464,0.6477046012878418
shuffled,5,0.3,0.9813750386238098,0.5952556133270264
shuffled,5,0.4,0.9826250672340393,0.6620979309082031
shuffled,5,0.5,0.9842500686645508,0.7019033432006836
shuffled,6,0.05,0.9235000610351562,0.48231959342956543
shuffled,6,0.1,0.9610000252723694,0.5790407657623291
shuffled,6,0.2,0.9767500758171082,0.5718114376068115
shuffled,6,0.3,0.9813750386238098,0.6249971389770508
shuffled,6,0.4,0.9825000762939453,0.6692578792572021
shuffled,6,0.5,0.984125018119812,0.657264232635498
shuffled,7,0.05,0.9077500700950623,0.5475332736968994
shuffled,7,0.1,0.9606250524520874,0.5569870471954346
shuffled,7,0.2,0.9762500524520874,0.5942833423614502
shuffled,7,0.3,0.9803750514984131,0.6488606929779053
shuffled,7,0.4,0.9812500476837158,0.6672255992889404
shuffled,7,0.5,0.9845000505447388,0.7096371650695801
shuffled,8,0.05,0.9440000653266907,0.45584583282470703
shuffled,8,0.1,0.9693750739097595,0.5367603302001953
shuffled,8,0.2,0.9761250615119934,0.5659244060516357
shuffled,8,0.3,0.9817500710487366,0.6138277053833008
shuffled,8,0.4,0.9818750619888306,0.6503148078918457
shuffled,8,0.5,0.9826250672340393,0.883171796798706
shuffled,9,0.05,0.937125027179718,0.596355676651001
shuffled,9,0.1,0.9601250290870667,0.5959875583648682
shuffled,9,0.2,0.9761250615119934,0.6339750289916992
shuffled,9,0.3,0.9793750643730164,0.6467440128326416
shuffled,9,0.4,0.9818750619888306,0.6507282257080078
shuffled,9,0.5,0.983375072479248,0.7264382839202881
