mode,k_frac,mean,std,sem,ci_lo,ci_hi,n
non-shuffled,0.05,0.9295875370502472,0.005821438839346232,0.0018409005991701127,0.9254231305737322,0.9337519435267623,10
non-shuffled,0.1,0.9604750454425812,0.002667184210309919,0.0008434377043816897,0.958567056798193,0.9623830340869695,10
non-shuffled,0.2,0.9759250462055207,0.001720180044560841,0.0005439686926382195,0.9746945035311008,0.9771555888799406,10
non-shuffled,0.3,0.9803125441074372,0.0008063345415351044,0.00025498537073185727,0.9797357271246131,0.9808893610902613,10
non-shuffled,0.4,0.9823125600814819,0.00046490877011691717,0.00014701706177570837,0.9819799843821243,0.9826451357808396,10
non-shuffled,0.5,0.9832250475883484,0.0007723441467126157,0.00024423666411111137,0.9826725458691978,0.9837775493074989,10
shuffled,0.05,0.9304750442504883,0.010355945211710182,0.0032748374192918804,0.9230668473252546,0.9378832411757221,10
shuffled,0.1,0.9623250424861908,0.003474717732001451,0.0010988022259299127,0.9598393791602434,0.9648107058121381,10
shuffled,0.2,0.9755250453948975,0.0010782023159461016,0.0003409575096858166,0.9747537459221328,0.9762963448676621,10
shuffled,0.3,0.9803625524044037,0.00097797104174251,0.0003092615977593937,0.9796629540658366,0.9810621507429709,10
shuffled,0.4,0.9822250545024872,0.0005737344953368213,0.0001814307777471609,0.9818146295690443,0.9826354794359301,10
shuffled,0.5,0.9834125518798829,0.0008355177527723257,0.00026421391242660125,0.9828148584853613,0.9840102452744044,10
