mode,seed,k_frac,test_acc,elapsed_sec
non-shuffled,0,0.05,0.9448750615119934,2.402275323867798
non-shuffled,0,0.1,0.9655000567436218,0.7739555835723877
non-shuffled,0,0.2,0.9782500267028809,0.6202695369720459
non-shuffled,0,0.3,0.9818750619888306,0.6220676898956299
non-shuffled,0,0.4,0.9827500581741333,0.6770389080047607
non-shuffled,0,0.5,0.9828750491142273,0.6908059120178223
non-shuffled,1,0.05,0.9496250748634338,0.5174860954284668
non-shuffled,1,0.1,0.9686250686645508,0.6060845851898193
non-shuffled,1,0.2,0.9767500758171082,0.6428024768829346
non-shuffled,1,0.3,0.9796250462532043,0.641322135925293
non-shuffled,1,0.4,0.9821250438690186,0.7556121349334717
non-shuffled,1,0.5,0.98375004529953,0.7241458892822266
non-shuffled,2,0.05,0.939875066280365,0.5461633205413818
non-shuffled,2,0.1,0.9642500281333923,0.48381948471069336
non-shuffled,2,0.2,0.9765000343322754,0.5932555198669434
non-shuffled,2,0.3,0.9795000553131104,0.618128776550293
non-shuffled,2,0.4,0.9818750619888306,0.7032089233398438
non-shuffled,2,0.5,0.983500063419342,0.6753699779510498
non-shuffled,3,0.05,0.940125048160553,0.5267727375030518
non-shuffled,3,0.1,0.968375027179718,0.5539102554321289
non-shuffled,3,0.2,0.9785000681877136,0.6293771266937256
non-shuffled,3,0.3,0.9812500476837158,1.1518046855926514
non-shuffled,3,0.4,0.9821250438690186,0.7629954814910889
non-shuffled,3,0.5,0.983375072479248,0.7714645862579346
non-shuffled,4,0.05,0.9352500438690186,0.49191880226135254
non-shuffled,4,0.1,0.9641250371932983,0.5345239639282227
non-shuffled,4,0.2,0.9788750410079956,0.6353378295898438
non-shuffled,4,0.3,0.9800000190734863,0.663670539855957
non-shuffled,4,0.4,0.9827500581741333,0.6857800483703613
non-shuffled,4,0.5,0.983875036239624,0.7093586921691895
non-shuffled,5,0.05,0.9235000610351562,0.47929930686950684
non-shuffled,5,0.1,0.9700000286102295,0.5970284938812256
non-shuffled,5,0.2,0.9782500267028809,0.5201442241668701
non-shuffled,5,0.3,0.9817500710487366,0.7262685298919678
non-shuffled,5,0.4,0.9823750257492065,0.6864323616027832
non-shuffled,5,0.5,0.983875036239624,0.6702010631561279
non-shuffled,6,0.05,0.9286250472068787,0.5135269165039062
non-shuffled,6,0.1,0.9662500619888306,0.5562574863433838
non-shuffled,6,0.2,0.9771250486373901,0.6663022041320801
non-shuffled,6,0.3,0.9806250333786011,0.6491029262542725
non-shuffled,6,0.4,0.9823750257492065,0.7192792892456055
non-shuffled,6,0.5,0.983375072479248,0.8317453861236572
non-shuffled,7,0.05,0.9461250305175781,0.6240434646606445
non-shuffled,7,0.1,0.9651250243186951,1.707378625869751
non-shuffled,7,0.2,0.9776250720024109,0.7394776344299316
non-shuffled,7,0.3,0.9801250696182251,0.7061123847961426
non-shuffled,7,0.4,0.9820000529289246,0.8209943771362305
non-shuffled,7,0.5,0.983500063419342,0.8216781616210938
non-shuffled,8,0.05,0.936625063419342,0.5458025932312012
non-shuffled,8,0.1,0.9665000438690186,0.6052377223968506
non-shuffled,8,0.2,0.9780000448226929,0.6264016628265381
non-shuffled,8,0.3,0.9823750257492065,0.722557544708252
non-shuffled,8,0.4,0.9822500348091125,0.6973757743835449
non-shuffled,8,0.5,0.983500063419342,0.7913284301757812
non-shuffled,9,0.05,0.9391250610351562,0.543989896774292
non-shuffled,9,0.1,0.9637500643730164,0.5105385780334473
non-shuffled,9,0.2,0.9766250252723694,0.6783919334411621
non-shuffled,9,0.3,0.9801250696182251,0.674147367477417
non-shuffled,9,0.4,0.9828750491142273,0.6792037487030029
non-shuffled,9,0.5,0.9830000400543213,0.7572488784790039
shuffled,0,0.05,0.9218750596046448,0.8435506820678711
shuffled,0,0.1,0.9567500352859497,0.5535681247711182
shuffled,0,0.2,0.9752500653266907,0.6275959014892578
shuffled,0,0.3,0.9795000553131104,0.5626184940338135
shuffled,0,0.4,0.9818750619888306,0.6070175170898438
shuffled,0,0.5,0.9831250309944153,0.6985037326812744
shuffled,1,0.05,0.9237500429153442,0.563347339630127
shuffled,1,0.1,0.9631250500679016,0.6171486377716064
shuffled,1,0.2,0.9750000238418579,0.6467502117156982
shuffled,1,0.3,0.9807500243186951,0.6546101570129395
shuffled,1,0.4,0.9828750491142273,0.6604554653167725
shuffled,1,0.5,0.9828750491142273,0.7197458744049072
shuffled,2,0.05,0.9222500324249268,1.2027873992919922
shuffled,2,0.1,0.9602500200271606,0.6752715110778809
shuffled,2,0.2,0.9756250381469727,0.7280538082122803
shuffled,2,0.3,0.9802500605583191,0.7669961452484131
shuffled,2,0.4,0.9827500581741333,0.6630923748016357
shuffled,2,0.5,0.9827500581741333,0.7690041065216064
shuffled,3,0.05,0.9263750314712524,0.6230332851409912
shuffled,3,0.1,0.9575000405311584,0.6176304817199707
shuffled,3,0.2,0.9755000472068787,0.7727210521697998
shuffled,3,0.3,0.9791250228881836,0.7015964984893799
shuffled,3,0.4,0.9832500219345093,0.7289042472839355
shuffled,3,0.5,0.9832500219345093,0.7485852241516113
shuffled,4,0.05,0.9271250367164612,0.48828792572021484
shuffled,4,0.1,0.9643750190734863,0.5552027225494385
shuffled,4,0.2,0.9773750305175781,0.567180871963501
shuffled,4,0.3,0.9813750386238098,0.6379210948944092
shuffled,4,0.4,0.9817500710487366,0.7527720928192139
shuffled,4,0.5,0.9830000400543213,0.7623651027679443
shuffled,5,0.05,0.9317500591278076,0.526604175567627
shuffled,5,0.1,0.9592500329017639,0.5679218769073486
shuffled,5,0.2,0.9751250743865967,0.5386676788330078
shuffled,5,0.3,0.9791250228881836,0.6312069892883301
shuffled,5,0.4,0.9817500710487366,1.347374677658081
shuffled,5,0.5,0.9832500219345093,0.726806640625
shuffled,6,0.05,0.9345000386238098,0.6062476634979248
shuffled,6,0.1,0.9632500410079956,0.5208995342254639
shuffled,6,0.2,0.9758750200271606,0.5805115699768066
shuffled,6,0.3,0.9802500605583191,0.620042085647583
shuffled,6,0.4,0.9815000295639038,0.7759838104248047
shuffled,6,0.5,0.9823750257492065,0.797199010848999
shuffled,7,0.05,0.9336250424385071,0.5564656257629395
shuffled,7,0.1,0.9616250395774841,0.4678337574005127
shuffled,7,0.2,0.9757500290870667,0.5518271923065186
shuffled,7,0.3,0.9808750748634338,0.5994260311126709
shuffled,7,0.4,0.9831250309944153,0.6077022552490234
shuffled,7,0.5,0.9828750491142273,0.6661367416381836
shuffled,8,0.05,0.9177500605583191,0.48365020751953125
shuffled,8,0.1,0.9587500691413879,0.47475719451904297
shuffled,8,0.2,0.9763750433921814,0.541740894317627
shuffled,8,0.3,0.9797500371932983,0.5164628028869629
shuffled,8,0.4,0.9821250438690186,0.6168491840362549
shuffled,8,0.5,0.98375004529953,0.617457389831543
shuffled,9,0.05,0.9411250352859497,0.5167536735534668
shuffled,9,0.1,0.967750072479248,0.49924373626708984
shuffled,9,0.2,0.9780000448226929,0.584104061126709
shuffled,9,0.3,0.9812500476837158,0.7784481048583984
shuffled,9,0.4,0.9827500581741333,1.1580467224121094
shuffled,9,0.5,0.9828750491142273,0.772449254989624
