mode,k_frac,mean,std,sem,ci_lo,ci_hi,n
non-shuffled,0.05,0.9383750557899475,0.007915571387979776,0.0025031234567676457,0.9327125971327125,0.9440375144471825,10
non-shuffled,0.1,0.9662500441074371,0.0021311172312948588,0.000673918441172362,0.9647255346785596,0.9677745535363146,10
non-shuffled,0.2,0.9776500463485718,0.00085146866205371,0.00026925803283459065,0.977040942360939,0.9782591503362046,10
non-shuffled,0.3,0.9807250499725342,0.0010185765981965654,0.0003221022021647302,0.9799964041687361,0.9814536957763322,10
non-shuffled,0.4,0.9823500454425812,0.000342580864980704,0.00010833358161296402,0.9821049778549578,0.9825951130302046,10
non-shuffled,0.5,0.9834625542163848,0.00033359031537930946,0.00010549052019725144,0.9832239180805075,0.9837011903522622,10
shuffled,0.05,0.9280125439167023,0.0071283941231496855,0.0022541961488511814,0.9229131979521005,0.9331118898813041,10
shuffled,0.1,0.9612625420093537,0.0034194396224499313,0.0010813217528368015,0.958816422260824,0.9637086617578834,10
shuffled,0.2,0.9759875416755677,0.000990314061417252,0.00031316480329703924,0.9752791136726355,0.9766959696784998,10
shuffled,0.3,0.9802250444889069,0.000832923182842507,0.00026339343737392023,0.9796292071379027,0.9808208818399111,10
shuffled,0.4,0.9823750495910645,0.0006427940721910119,0.00020326933345782972,0.9819152224123943,0.9828348767697347,10
shuffled,0.5,0.9830125391483306,0.00036538446078030807,0.00011554471176982375,0.9827511588509706,0.9832739194456906,10
