mode,seed,k_frac,test_acc,elapsed_sec
non-shuffled,0,0.05,0.9392500519752502,0.8429882526397705
non-shuffled,0,0.1,0.9663750529289246,1.588881254196167
non-shuffled,0,0.2,0.9773750305175781,0.599952220916748
non-shuffled,0,0.3,0.9826250672340393,0.5755887031555176
non-shuffled,0,0.4,0.9851250648498535,0.628173828125
non-shuffled,0,0.5,0.986875057220459,0.611077070236206
non-shuffled,1,0.05,0.9356250166893005,0.5500984191894531
non-shuffled,1,0.1,0.955500066280365,0.520803689956665
non-shuffled,1,0.2,0.9791250228881836,0.5020620822906494
non-shuffled,1,0.3,0.9827500581741333,0.5773711204528809
non-shuffled,1,0.4,0.9842500686645508,0.6419937610626221
non-shuffled,1,0.5,0.987000048160553,0.6881070137023926
non-shuffled,2,0.05,0.924875020980835,0.5048110485076904
non-shuffled,2,0.1,0.9667500257492065,0.5338046550750732
non-shuffled,2,0.2,0.984125018119812,0.6022944450378418
non-shuffled,2,0.3,0.9851250648498535,0.702850341796875
non-shuffled,2,0.4,0.984125018119812,0.6299231052398682
non-shuffled,2,0.5,0.986750066280365,0.6219987869262695
non-shuffled,3,0.05,0.9135000705718994,0.596351146697998
non-shuffled,3,0.1,0.9600000381469727,0.5307474136352539
non-shuffled,3,0.2,0.9750000238418579,0.5682144165039062
non-shuffled,3,0.3,0.9828750491142273,0.6040737628936768
non-shuffled,3,0.4,0.9848750233650208,0.6365108489990234
non-shuffled,3,0.5,0.9875000715255737,0.6883068084716797
non-shuffled,4,0.05,0.9342500567436218,0.5925493240356445
non-shuffled,4,0.1,0.9605000615119934,1.238435983657837
non-shuffled,4,0.2,0.9782500267028809,0.6493141651153564
non-shuffled,4,0.3,0.9815000295639038,0.6860480308532715
non-shuffled,4,0.4,0.984125018119812,0.7072012424468994
non-shuffled,4,0.5,0.9863750338554382,0.6846911907196045
non-shuffled,5,0.05,0.9183750152587891,0.5568594932556152
non-shuffled,5,0.1,0.956125020980835,0.5823149681091309
non-shuffled,5,0.2,0.9787500500679016,0.5989322662353516
non-shuffled,5,0.3,0.9842500686645508,0.6664378643035889
non-shuffled,5,0.4,0.9852500557899475,0.6661567687988281
non-shuffled,5,0.5,0.9857500195503235,0.6970949172973633
non-shuffled,6,0.05,0.924375057220459,0.5025432109832764
non-shuffled,6,0.1,0.9637500643730164,0.5734329223632812
non-shuffled,6,0.2,0.9785000681877136,0.6706838607788086
non-shuffled,6,0.3,0.9831250309944153,0.6936464309692383
non-shuffled,6,0.4,0.9847500324249268,0.6611394882202148
non-shuffled,6,0.5,0.986750066280365,0.6679196357727051
non-shuffled,7,0.05,0.9381250739097595,0.5540153980255127
non-shuffled,7,0.1,0.9720000624656677,0.58652663230896
non-shuffled,7,0.2,0.9787500500679016,0.579014778137207
non-shuffled,7,0.3,0.9822500348091125,0.7370219230651855
non-shuffled,7,0.4,0.9850000739097595,0.7415101528167725
non-shuffled,7,0.5,0.9863750338554382,1.372222900390625
non-shuffled,8,0.05,0.9342500567436218,0.5085043907165527
non-shuffled,8,0.1,0.9655000567436218,0.5301368236541748
non-shuffled,8,0.2,0.9783750176429749,0.5677108764648438
non-shuffled,8,0.3,0.9827500581741333,0.6753432750701904
non-shuffled,8,0.4,0.9848750233650208,0.7203631401062012
non-shuffled,8,0.5,0.9863750338554382,0.7101271152496338
non-shuffled,9,0.05,0.9307500720024109,0.5692169666290283
non-shuffled,9,0.1,0.9536250233650208,0.5434660911560059
non-shuffled,9,0.2,0.9805000424385071,0.593097448348999
