mode,k_frac,mean,std,sem,ci_lo,ci_hi,n
non-shuffled,0.05,0.9293375492095948,0.008697474697891729,0.0027503829937022737,0.9231157506197991,0.9355593477993904,10
non-shuffled,0.1,0.9620125472545624,0.005870557834573693,0.0018564333892998846,0.9578130031655961,0.9662120913435287,10
non-shuffled,0.2,0.9788750350475312,0.0023176541326277423,0.0007329065887605632,0.9772170851580635,0.9805329849369988,10
non-shuffled,0.3,0.9831875503063202,0.0011292427116998795,0.00035709790001164904,0.9823797387339687,0.9839953618786718,10
non-shuffled,0.4,0.9847750425338745,0.0004594775113163588,0.0001452995469385485,0.984446352123008,0.985103732944741,10
non-shuffled,0.5,0.9864875495433807,0.000667844146994309,0.00021119086265143104,0.9860098026207044,0.986965296466057,10
shuffled,0.05,0.896550041437149,0.011237677248571947,0.0035536655715341526,0.888511091410115,0.904588991464183,10
shuffled,0.1,0.9563750386238098,0.0026207040673526857,0.0008287393926101805,0.9545002998706773,0.9582497773769423,10
shuffled,0.2,0.9779750406742096,0.001756735249084901,0.0005555284633011516,0.9767183479817836,0.9792317333666356,10
shuffled,0.3,0.9831000447273255,0.0010797899129579834,0.00034145955194221894,0.9823276095560745,0.9838724798985765,10
shuffled,0.4,0.9852500438690186,0.001030782812307719,0.0003259621459846235,0.9845126662656601,0.9859874214723771,10
shuffled,0.5,0.9868750393390655,0.0005652000711346618,0.00017873195584747198,0.9864707195649143,0.9872793591132167,10
