mode,seed,k_frac,test_acc,elapsed_sec
non-shuffled,0,0.05,0.8700000643730164,0.7802927494049072
non-shuffled,0,0.1,0.9577500224113464,0.5272750854492188
non-shuffled,0,0.2,0.9758750200271606,0.5589962005615234
non-shuffled,0,0.3,0.9825000762939453,0.5779948234558105
non-shuffled,0,0.4,0.9863750338554382,0.5379388332366943
non-shuffled,0,0.5,0.986750066280365,0.5609095096588135
non-shuffled,1,0.05,0.9101250171661377,0.5918309688568115
non-shuffled,1,0.1,0.9481250643730164,0.6054694652557373
non-shuffled,1,0.2,0.9742500185966492,0.5632634162902832
non-shuffled,1,0.3,0.9820000529289246,0.5750861167907715
non-shuffled,1,0.4,0.9855000376701355,0.7074928283691406
non-shuffled,1,0.5,0.9881250262260437,0.7204036712646484
non-shuffled,2,0.05,0.8945000171661377,0.629417896270752
non-shuffled,2,0.1,0.9503750205039978,0.5342953205108643
non-shuffled,2,0.2,0.9770000576972961,1.682804822921753
non-shuffled,2,0.3,0.9816250205039978,0.7154130935668945
non-shuffled,2,0.4,0.9853750467300415,0.7424893379211426
non-shuffled,2,0.5,0.9850000739097595,0.6911828517913818
non-shuffled,3,0.05,0.9155000448226929,0.5309841632843018
non-shuffled,3,0.1,0.9572500586509705,0.5865800380706787
non-shuffled,3,0.2,0.9703750610351562,0.5934457778930664
non-shuffled,3,0.3,0.9810000658035278,0.7150163650512695
non-shuffled,3,0.4,0.984000027179718,0.7382137775421143
non-shuffled,3,0.5,0.9863750338554382,0.7254858016967773
non-shuffled,4,0.05,0.9200000166893005,0.5759634971618652
non-shuffled,4,0.1,0.9550000429153442,0.633155345916748
non-shuffled,4,0.2,0.9756250381469727,0.5977175235748291
non-shuffled,4,0.3,0.9826250672340393,0.7019021511077881
non-shuffled,4,0.4,0.9856250286102295,0.7486476898193359
non-shuffled,4,0.5,0.9860000610351562,0.7704207897186279
non-shuffled,5,0.05,0.9036250710487366,0.600257396697998
non-shuffled,5,0.1,0.9600000381469727,0.59737229347229
non-shuffled,5,0.2,0.9790000319480896,0.6670162677764893
non-shuffled,5,0.3,0.9801250696182251,0.7159454822540283
non-shuffled,5,0.4,0.9858750700950623,0.9743082523345947
non-shuffled,5,0.5,0.986625075340271,1.018144130706787
non-shuffled,6,0.05,0.9022500514984131,0.5593616962432861
non-shuffled,6,0.1,0.9658750295639038,0.6451363563537598
non-shuffled,6,0.2,0.9738750457763672,0.6492631435394287
non-shuffled,6,0.3,0.9812500476837158,0.66758131980896
non-shuffled,6,0.4,0.9845000505447388,0.7363061904907227
non-shuffled,6,0.5,0.9862500429153442,0.7705972194671631
non-shuffled,7,0.05,0.890250027179718,0.6181273460388184
non-shuffled,7,0.1,0.9626250267028809,0.5829343795776367
non-shuffled,7,0.2,0.9763750433921814,0.6879351139068604
non-shuffled,7,0.3,0.983875036239624,0.6711604595184326
non-shuffled,7,0.4,0.9860000610351562,0.7182886600494385
non-shuffled,7,0.5,0.987000048160553,0.6284384727478027
non-shuffled,8,0.05,0.8436250686645508,0.5972363948822021
non-shuffled,8,0.1,0.9673750400543213,0.5576190948486328
non-shuffled,8,0.2,0.9736250638961792,0.5973770618438721
non-shuffled,8,0.3,0.9816250205039978,0.7070877552032471
non-shuffled,8,0.4,0.983875036239624,0.7528994083404541
non-shuffled,8,0.5,0.9858750700950623,0.7565882205963135
non-shuffled,9,0.05,0.9008750319480896,0.5820741653442383
non-shuffled,9,0.1,0.9566250443458557,0.5646951198577881
non-shuffled,9,0.2,0.9751250743865967,1.2922756671905518
non-shuffled,9,0.3,0.9803750514984131,0.6679770946502686
non-shuffled,9,0.4,0.986625075340271,0.729379415512085
non-shuffled,9,0.5,0.9863750338554382,0.672051191329956
shuffled,0,0.05,0.9041250348091125,0.7887241840362549
shuffled,0,0.1,0.955875039100647,0.5145354270935059
shuffled,0,0.2,0.9792500734329224,0.5337939262390137
shuffled,0,0.3,0.9832500219345093,0.5357186794281006
shuffled,0,0.4,0.9852500557899475,0.5582940578460693
shuffled,0,0.5,0.9876250624656677,0.5427658557891846
shuffled,1,0.05,0.9042500257492065,0.5068089962005615
shuffled,1,0.1,0.9531250596046448,0.5299181938171387
shuffled,1,0.2,0.9761250615119934,0.4822115898132324
shuffled,1,0.3,0.9825000762939453,0.5383880138397217
shuffled,1,0.4,0.9843750596046448,1.513930320739746
shuffled,1,0.5,0.9858750700950623,0.7228848934173584
shuffled,2,0.05,0.9018750190734863,0.5362980365753174
shuffled,2,0.1,0.9452500343322754,0.5107777118682861
shuffled,2,0.2,0.9775000214576721,0.5671975612640381
shuffled,2,0.3,0.9830000400543213,0.6071093082427979
shuffled,2,0.4,0.9858750700950623,0.6365034580230713
shuffled,2,0.5,0.9857500195503235,0.7018637657165527
shuffled,3,0.05,0.9093750715255737,0.5513095855712891
shuffled,3,0.1,0.9580000638961792,0.5381200313568115
shuffled,3,0.2,0.9793750643730164,0.6071648597717285
shuffled,3,0.3,0.9827500581741333,0.6816196441650391
shuffled,3,0.4,0.9857500195503235,0.7347314357757568
shuffled,3,0.5,0.9877500534057617,0.6852326393127441
shuffled,4,0.05,0.9153750538825989,0.47254180908203125
shuffled,4,0.1,0.9590000510215759,0.5630028247833252
shuffled,4,0.2,0.9767500758171082,0.6698410511016846
shuffled,4,0.3,0.9825000762939453,0.6664040088653564
shuffled,4,0.4,0.9851250648498535,0.6534063816070557
shuffled,4,0.5,0.987000048160553,0.6326968669891357
shuffled,5,0.05,0.9167500138282776,0.5069427490234375
shuffled,5,0.1,0.9535000324249268,0.5494842529296875
shuffled,5,0.2,0.9776250720024109,0.5461509227752686
shuffled,5,0.3,0.9831250309944153,1.5919053554534912
shuffled,5,0.4,0.986750066280365,0.6901164054870605
shuffled,5,0.5,0.987250030040741,0.6944320201873779
shuffled,6,0.05,0.8832500576972961,0.5598938465118408
shuffled,6,0.1,0.9601250290870667,0.604600191116333
shuffled,6,0.2,0.9776250720024109,0.6049344539642334
shuffled,6,0.3,0.9858750700950623,0.5950345993041992
shuffled,6,0.4,0.986750066280365,0.6998035907745361
shuffled,6,0.5,0.986750066280365,0.6522583961486816
shuffled,7,0.05,0.9177500605583191,0.5752856731414795
shuffled,7,0.1,0.9577500224113464,0.5858554840087891
shuffled,7,0.2,0.9768750667572021,0.5645022392272949
shuffled,7,0.3,0.9822500348091125,0.6046195030212402
shuffled,7,0.4,0.9846250414848328,0.6414480209350586
shuffled,7,0.5,0.9863750338554382,0.6986629962921143
shuffled,8,0.05,0.8993750214576721,0.46628832817077637
shuffled,8,0.1,0.9572500586509705,0.5099930763244629
shuffled,8,0.2,0.9783750176429749,0.542888879776001
shuffled,8,0.3,0.9857500195503235,0.6272013187408447
shuffled,8,0.4,0.9858750700950623,0.6135966777801514
shuffled,8,0.5,0.9878750443458557,0.665320634841919
shuffled,9,0.05,0.9020000696182251,0.5841279029846191
shuffled,9,0.1,0.9591250419616699,0.8687729835510254
shuffled,9,0.2,0.9790000319480896,1.0068566799163818
shuffled,9,0.3,0.983875036239624,0.6860275268554688
shuffled,9,0.4,0.9851250648498535,0.7062201499938965
shuffled,9,0.5,0.9865000247955322,0.6507828235626221
