mode,k_frac,mean,std,sem,ci_lo,ci_hi,n
non-shuffled,0.05,0.8950750410556794,0.02290712208097153,0.0072438680415406066,0.8786882730787384,0.9114618090326203,10
non-shuffled,0.1,0.958100038766861,0.006167731674065393,0.001950408008680991,0.9536879093195353,0.9625121682141867,10
non-shuffled,0.2,0.9751125454902649,0.0023104844609564247,0.0007306393395048682,0.973459724474941,0.9767653665055889,10
non-shuffled,0.3,0.9817000508308411,0.0011183414752251976,0.00035365062635443913,0.9809000375332856,0.9825000641283966,10
non-shuffled,0.4,0.9853750467300415,0.0009538025802877905,0.0003016188591855037,0.9846927374672831,0.9860573559927999,10
non-shuffled,0.5,0.9864375531673432,0.0008106174302492015,0.00025633973906201494,0.9858576723904999,0.9870174339441864,10
shuffled,0.05,0.9054125428199769,0.010276734428711489,0.0032497887703397594,0.89806100987539,0.9127640757645638,10
shuffled,0.1,0.9559000432491302,0.004402021287491138,0.0013920413577018873,0.9527510269208158,0.9590490595774447,10
shuffled,0.2,0.9778500556945801,0.0011177186560718578,0.00035345367364494597,0.977050487935007,0.9786496234541531,10
shuffled,0.3,0.9834875464439392,0.001308952868002866,0.0004139272412698792,0.9825511779702001,0.9844239149176783,10
shuffled,0.4,0.985550057888031,0.0008040734180940345,0.00025427034071739946,0.9849748584154757,0.9861252573605862,10
shuffled,0.5,0.9868750452995301,0.0007569167885669653,0.00023935810510917067,0.9863335796475702,0.98741651095149,10
