mode,seed,k_frac,test_acc,elapsed_sec
non-shuffled,0,0.05,0.8845000267028809,0.7523636817932129
non-shuffled,0,0.1,0.9488750696182251,0.5123147964477539
non-shuffled,0,0.2,0.9738750457763672,0.51271653175354
non-shuffled,0,0.3,0.9821250438690186,0.5365521907806396
non-shuffled,0,0.4,0.9847500324249268,0.5881412029266357
non-shuffled,0,0.5,0.9855000376701355,0.6145102977752686
non-shuffled,1,0.05,0.8907500505447388,0.5570251941680908
non-shuffled,1,0.1,0.9520000219345093,0.5018513202667236
non-shuffled,1,0.2,0.9788750410079956,0.60882568359375
non-shuffled,1,0.3,0.9828750491142273,0.6362426280975342
non-shuffled,1,0.4,0.9860000610351562,0.7059972286224365
non-shuffled,1,0.5,0.986625075340271,2.3811709880828857
non-shuffled,2,0.05,0.9015000462532043,0.6422533988952637
non-shuffled,2,0.1,0.9506250619888306,0.6052670478820801
non-shuffled,2,0.2,0.9737500548362732,0.6454336643218994
non-shuffled,2,0.3,0.9821250438690186,0.6868677139282227
non-shuffled,2,0.4,0.98375004529953,0.6659455299377441
non-shuffled,2,0.5,0.987125039100647,0.6232359409332275
non-shuffled,3,0.05,0.8870000243186951,0.47383928298950195
non-shuffled,3,0.1,0.9572500586509705,0.5030896663665771
non-shuffled,3,0.2,0.9765000343322754,0.5606606006622314
non-shuffled,3,0.3,0.9820000529289246,0.6303565502166748
non-shuffled,3,0.4,0.984125018119812,0.6356749534606934
non-shuffled,3,0.5,0.987000048160553,0.6068437099456787
non-shuffled,4,0.05,0.8947500586509705,0.5032758712768555
non-shuffled,4,0.1,0.9483750462532043,0.49024271965026855
non-shuffled,4,0.2,0.9773750305175781,0.6301672458648682
non-shuffled,4,0.3,0.9812500476837158,0.6052298545837402
non-shuffled,4,0.4,0.984125018119812,0.6650774478912354
non-shuffled,4,0.5,0.9856250286102295,0.7212607860565186
non-shuffled,5,0.05,0.889750063419342,0.5770797729492188
non-shuffled,5,0.1,0.9468750357627869,0.6040947437286377
non-shuffled,5,0.2,0.9746250510215759,1.2774932384490967
non-shuffled,5,0.3,0.9818750619888306,0.714324951171875
non-shuffled,5,0.4,0.9851250648498535,0.7084157466888428
non-shuffled,5,0.5,0.9863750338554382,0.6711208820343018
non-shuffled,6,0.05,0.9068750143051147,0.49992799758911133
non-shuffled,6,0.1,0.9497500658035278,0.5084764957427979
non-shuffled,6,0.2,0.9778750538825989,0.5585474967956543
non-shuffled,6,0.3,0.983875036239624,0.618433952331543
non-shuffled,6,0.4,0.9846250414848328,0.662867546081543
non-shuffled,6,0.5,0.9850000739097595,0.6451520919799805
non-shuffled,7,0.05,0.8992500305175781,0.5082554817199707
non-shuffled,7,0.1,0.9533750414848328,0.4941434860229492
non-shuffled,7,0.2,0.9771250486373901,0.516021728515625
non-shuffled,7,0.3,0.9823750257492065,0.5995352268218994
non-shuffled,7,0.4,0.9846250414848328,0.6028656959533691
non-shuffled,7,0.5,0.9862500429153442,0.6069884300231934
non-shuffled,8,0.05,0.8761250376701355,0.5043752193450928
non-shuffled,8,0.1,0.9548750519752502,0.48940205574035645
non-shuffled,8,0.2,0.9763750433921814,0.5063204765319824
non-shuffled,8,0.3,0.9822500348091125,0.6437451839447021
non-shuffled,8,0.4,0.9852500557899475,0.6881692409515381
non-shuffled,8,0.5,0.987125039100647,0.6428408622741699
non-shuffled,9,0.05,0.8961250185966492,0.5800750255584717
non-shuffled,9,0.1,0.9563750624656677,0.5186471939086914
non-shuffled,9,0.2,0.9771250486373901,1.2631680965423584
non-shuffled,9,0.3,0.9816250205039978,0.6695859432220459
non-shuffled,9,0.4,0.9855000376701355,0.7000524997711182
non-shuffled,9,0.5,0.986875057220459,0.6582787036895752
shuffled,0,0.05,0.9041250348091125,0.7558424472808838
shuffled,0,0.1,0.955750048160553,0.5607442855834961
shuffled,0,0.2,0.9802500605583191,0.5740389823913574
shuffled,0,0.3,0.9830000400543213,0.6198956966400146
shuffled,0,0.4,0.987000048160553,0.6509578227996826
shuffled,0,0.5,0.986750066280365,0.6614012718200684
shuffled,1,0.05,0.9063750505447388,1.8589258193969727
shuffled,1,0.1,0.9517500400543213,0.5304276943206787
shuffled,1,0.2,0.9775000214576721,0.5856382846832275
shuffled,1,0.3,0.9825000762939453,0.6337685585021973
shuffled,1,0.4,0.9865000247955322,0.6794497966766357
shuffled,1,0.5,0.987375020980835,0.6860105991363525
shuffled,2,0.05,0.9051250219345093,0.5799105167388916
shuffled,2,0.1,0.9573750495910645,0.5446507930755615
shuffled,2,0.2,0.9771250486373901,0.6987464427947998
shuffled,2,0.3,0.984000027179718,0.7229549884796143
shuffled,2,0.4,0.9845000505447388,0.735924482345581
shuffled,2,0.5,0.987250030040741,0.6838605403900146
shuffled,3,0.05,0.9027500152587891,0.5836696624755859
shuffled,3,0.1,0.9598750472068787,0.5681295394897461
shuffled,3,0.2,0.9766250252723694,0.5588486194610596
shuffled,3,0.3,0.9808750748634338,0.6171619892120361
shuffled,3,0.4,0.9855000376701355,0.7023677825927734
shuffled,3,0.5,0.9858750700950623,0.6262590885162354
shuffled,4,0.05,0.8881250619888306,0.476550817489624
shuffled,4,0.1,0.9542500376701355,0.6301743984222412
shuffled,4,0.2,0.9736250638961792,0.571387767791748
shuffled,4,0.3,0.9813750386238098,1.458113670349121
shuffled,4,0.4,0.9853750467300415,0.7830371856689453
shuffled,4,0.5,0.986625075340271,0.7011687755584717
shuffled,5,0.05,0.889875054359436,0.5466177463531494
shuffled,5,0.1,0.9540000557899475,0.5618083477020264
shuffled,5,0.2,0.9768750667572021,0.6201338768005371
shuffled,5,0.3,0.983625054359436,0.6470632553100586
shuffled,5,0.4,0.9847500324249268,0.6538517475128174
shuffled,5,0.5,0.9860000610351562,0.6344587802886963
shuffled,6,0.05,0.9082500338554382,0.4883716106414795
shuffled,6,0.1,0.9568750262260437,0.5090329647064209
shuffled,6,0.2,0.9798750281333923,0.5795869827270508
shuffled,6,0.3,0.9847500324249268,0.6144285202026367
shuffled,6,0.4,0.9863750338554382,0.6651506423950195
shuffled,6,0.5,0.9876250624656677,0.6477410793304443
shuffled,7,0.05,0.9045000672340393,0.4803447723388672
shuffled,7,0.1,0.9480000734329224,0.5317752361297607
shuffled,7,0.2,0.9772500395774841,0.5576534271240234
shuffled,7,0.3,0.9818750619888306,0.621088981628418
shuffled,7,0.4,0.9851250648498535,0.6498456001281738
shuffled,7,0.5,0.986875057220459,0.6890738010406494
shuffled,8,0.05,0.9125000238418579,0.5564122200012207
shuffled,8,0.1,0.9568750262260437,0.5175011157989502
shuffled,8,0.2,0.9783750176429749,0.8532147407531738
shuffled,8,0.3,0.9832500219345093,1.1249663829803467
shuffled,8,0.4,0.9843750596046448,0.711014986038208
shuffled,8,0.5,0.9852500557899475,0.6390790939331055
shuffled,9,0.05,0.9072500467300415,0.5339086055755615
shuffled,9,0.1,0.9633750319480896,0.5670366287231445
shuffled,9,0.2,0.9776250720024109,0.6553061008453369
shuffled,9,0.3,0.9848750233650208,0.6917273998260498
shuffled,9,0.4,0.984125018119812,0.7094459533691406
shuffled,9,0.5,0.987125039100647,0.7040932178497314
