mode,k_frac,mean,std,sem,ci_lo,ci_hi,n
non-shuffled,0.05,0.8926625370979309,0.00897005693246386,0.0028365810647968965,0.8862457449241843,0.8990793292716774,10
non-shuffled,0.1,0.9518375515937805,0.0035389962784390543,0.0011191288870726855,0.9493059061657321,0.9543691970218289,10
non-shuffled,0.2,0.9763500452041626,0.0017268278391009376,0.0005460709098545731,0.9751147469840088,0.9775853434243164,10
non-shuffled,0.3,0.9822375416755676,0.0007203619955080641,0.00022779846456294655,0.9817222257472694,0.9827528576038659,10
non-shuffled,0.4,0.984787541627884,0.0006923541291089327,0.00021894159954065115,0.9842922613202363,0.9852828219355316,10
non-shuffled,0.5,0.9863500475883484,0.0007495349203201231,0.00023702375340444115,0.985813862606818,0.9868862325698788,10
shuffled,0.05,0.9028875410556794,0.007808562225388281,0.0024692841883380045,0.8973016321419082,0.9084734499694506,10
shuffled,0.1,0.9558125436306,0.004238230722271156,0.001340246233167737,0.9527806960142513,0.9588443912469486,10
shuffled,0.2,0.9775125443935394,0.0018365921899687308,0.0005807814453177838,0.9761987254869611,0.9788263633001177,10
shuffled,0.3,0.9830125451087952,0.0013622377889527188,0.000430777412784235,0.9820380588988696,0.9839870313187208,10
shuffled,0.4,0.9853625416755676,0.0009832788935696978,0.0003109400878850537,0.9846591463285399,0.9860659370225953,10
shuffled,0.5,0.9866750538349152,0.0007527645008425247,0.0002380450364382117,0.9861365585506546,0.9872135491191757,10
