mode,seed,k_frac,test_acc,elapsed_sec
non-shuffled,0,0.05,0.9265000224113464,0.9407832622528076
non-shuffled,0,0.1,0.9445000290870667,0.5382425785064697
non-shuffled,0,0.2,0.9791250228881836,0.5498297214508057
non-shuffled,0,0.3,0.9815000295639038,0.5794823169708252
non-shuffled,0,0.4,0.9843750596046448,0.572824239730835
non-shuffled,0,0.5,0.987125039100647,0.6297636032104492
non-shuffled,1,0.05,0.87437504529953,0.5501060485839844
non-shuffled,1,0.1,0.9676250219345093,1.7462003231048584
non-shuffled,1,0.2,0.9752500653266907,0.5692949295043945
non-shuffled,1,0.3,0.9846250414848328,0.7018129825592041
non-shuffled,1,0.4,0.9858750700950623,0.7325222492218018
non-shuffled,1,0.5,0.986625075340271,0.7542843818664551
non-shuffled,2,0.05,0.9315000176429749,0.6459865570068359
non-shuffled,2,0.1,0.9478750228881836,0.6475422382354736
non-shuffled,2,0.2,0.9827500581741333,0.6429538726806641
non-shuffled,2,0.3,0.9842500686645508,0.6730434894561768
non-shuffled,2,0.4,0.987125039100647,0.729637861251831
non-shuffled,2,0.5,0.9862500429153442,0.7524523735046387
non-shuffled,3,0.05,0.8925000429153442,0.6312844753265381
non-shuffled,3,0.1,0.9576250314712524,0.6160151958465576
non-shuffled,3,0.2,0.9780000448226929,0.6646132469177246
non-shuffled,3,0.3,0.9825000762939453,0.7861955165863037
non-shuffled,3,0.4,0.9846250414848328,0.758575439453125
non-shuffled,3,0.5,0.9856250286102295,0.7564165592193604
non-shuffled,4,0.05,0.9362500309944153,0.6320211887359619
non-shuffled,4,0.1,0.9706250429153442,0.6267549991607666
non-shuffled,4,0.2,0.9738750457763672,0.6231546401977539
non-shuffled,4,0.3,0.9802500605583191,1.384781837463379
non-shuffled,4,0.4,0.9843750596046448,0.7468445301055908
non-shuffled,4,0.5,0.9847500324249268,0.7066547870635986
non-shuffled,5,0.05,0.8815000653266907,0.5665340423583984
non-shuffled,5,0.1,0.9467500448226929,0.6308259963989258
non-shuffled,5,0.2,0.9772500395774841,0.6898782253265381
non-shuffled,5,0.3,0.9812500476837158,0.7732987403869629
non-shuffled,5,0.4,0.98375004529953,0.7535779476165771
non-shuffled,5,0.5,0.9863750338554382,0.777400016784668
non-shuffled,6,0.05,0.8888750672340393,0.6396486759185791
non-shuffled,6,0.1,0.9666250348091125,0.6397466659545898
non-shuffled,6,0.2,0.9765000343322754,0.6702392101287842
non-shuffled,6,0.3,0.9810000658035278,0.665257453918457
non-shuffled,6,0.4,0.9857500195503235,0.7424674034118652
non-shuffled,6,0.5,0.9863750338554382,0.7530684471130371
non-shuffled,7,0.05,0.8856250643730164,0.5878713130950928
non-shuffled,7,0.1,0.9438750743865967,0.5468704700469971
non-shuffled,7,0.2,0.9758750200271606,0.59273362159729
non-shuffled,7,0.3,0.984125018119812,0.6828422546386719
non-shuffled,7,0.4,0.986750066280365,0.7008340358734131
non-shuffled,7,0.5,0.987000048160553,0.7094998359680176
non-shuffled,8,0.05,0.9483750462532043,1.1415174007415771
non-shuffled,8,0.1,0.971000075340271,0.7070865631103516
non-shuffled,8,0.2,0.9756250381469727,0.695967435836792
non-shuffled,8,0.3,0.9842500686645508,0.7477366924285889
non-shuffled,8,0.4,0.9831250309944153,0.8106262683868408
non-shuffled,8,0.5,0.986875057220459,0.8303360939025879
non-shuffled,9,0.05,0.8910000324249268,0.5879957675933838
non-shuffled,9,0.1,0.9422500729560852,0.6612708568572998
non-shuffled,9,0.2,0.9778750538825989,0.6488282680511475
non-shuffled,9,0.3,0.9825000762939453,0.7213175296783447
non-shuffled,9,0.4,0.9850000739097595,0.7118382453918457
non-shuffled,9,0.5,0.9863750338554382,0.708024263381958
shuffled,0,0.05,0.9145000576972961,0.9493849277496338
shuffled,0,0.1,0.9567500352859497,0.6134052276611328
shuffled,0,0.2,0.9808750748634338,0.628309965133667
shuffled,0,0.3,0.9843750596046448,0.5554826259613037
shuffled,0,0.4,0.9856250286102295,0.5691747665405273
shuffled,0,0.5,0.9857500195503235,0.6593685150146484
shuffled,1,0.05,0.9203750491142273,0.5406758785247803
shuffled,1,0.1,0.9596250653266907,0.5345227718353271
shuffled,1,0.2,0.9787500500679016,0.5868587493896484
shuffled,1,0.3,0.9842500686645508,0.6143691539764404
shuffled,1,0.4,0.9852500557899475,0.6409802436828613
shuffled,1,0.5,0.987000048160553,0.7427225112915039
shuffled,2,0.05,0.8928750157356262,0.5944094657897949
shuffled,2,0.1,0.9572500586509705,0.5695657730102539
shuffled,2,0.2,0.9782500267028809,0.6440591812133789
shuffled,2,0.3,0.9826250672340393,0.6735281944274902
shuffled,2,0.4,0.9855000376701355,0.6660480499267578
shuffled,2,0.5,0.986875057220459,0.6545805931091309
shuffled,3,0.05,0.9235000610351562,0.6257333755493164
shuffled,3,0.1,0.9617500305175781,1.1577811241149902
shuffled,3,0.2,0.9780000448226929,0.6910367012023926
shuffled,3,0.3,0.9842500686645508,0.6857583522796631
shuffled,3,0.4,0.9857500195503235,0.6673018932342529
shuffled,3,0.5,0.987375020980835,0.6682519912719727
shuffled,4,0.05,0.9152500629425049,0.5041985511779785
shuffled,4,0.1,0.9505000710487366,0.5071136951446533
shuffled,4,0.2,0.9766250252723694,0.5734848976135254
shuffled,4,0.3,0.9827500581741333,0.632732629776001
shuffled,4,0.4,0.9857500195503235,0.6313450336456299
shuffled,4,0.5,0.986625075340271,0.6153910160064697
shuffled,5,0.05,0.9167500138282776,0.4933781623840332
shuffled,5,0.1,0.9593750238418579,0.5860233306884766
shuffled,5,0.2,0.9792500734329224,0.5544874668121338
