mode,k_frac,mean,std,sem,ci_lo,ci_hi,n
non-shuffled,0.05,0.9056500434875489,0.026865963172266794,0.008495763515856567,0.8864312911962394,0.9248687957788583,10
non-shuffled,0.1,0.9558750450611114,0.012061471256160916,0.00381417211021207,0.9472467883016369,0.964503301820586,10
non-shuffled,0.2,0.977212542295456,0.0024763134272301475,0.0007830790630504891,0.9754410943838953,0.9789839902070167,10
non-shuffled,0.3,0.9826250553131104,0.0015986080512107247,0.0005055242527708983,0.9814814800037083,0.9837686306225125,10
non-shuffled,0.4,0.9850750505924225,0.0012845260544929924,0.000406202804602742,0.984156156008419,0.985993945176426,10
non-shuffled,0.5,0.9863375425338745,0.0007047772791872492,0.0002228701445368091,0.9858333752400242,0.9868417098277248,10
shuffled,0.05,0.9150250494480133,0.008279379172167096,0.0026181695796207377,0.9091023383799076,0.920947760516119,10
shuffled,0.1,0.9593750476837158,0.0039055641979929136,0.0012350478413666423,0.9565811753629008,0.9621689200045309,10
shuffled,0.2,0.9783750414848328,0.0013857062284758784,0.000438198784986545,0.9773837669646215,0.9793663160050441,10
shuffled,0.3,0.9834500610828399,0.0006697872480764414,0.00021180532516577866,0.9829709241493856,0.9839291980162943,10
shuffled,0.4,0.9855750381946564,0.0005041431224533723,0.00015942405336618308,0.9852143959304028,0.98593568045891,10
shuffled,0.5,0.9867750465869903,0.0005886692800424709,0.0001861535713505709,0.9863539379521687,0.9871961552218119,10
