mode,seed,k_frac,test_acc,elapsed_sec
non-shuffled,0,0.05,0.8992500305175781,0.7851545810699463
non-shuffled,0,0.1,0.9477500319480896,0.5749151706695557
non-shuffled,0,0.2,0.971625030040741,0.6769533157348633
non-shuffled,0,0.3,0.9803750514984131,0.6312313079833984
non-shuffled,0,0.4,0.9853750467300415,0.5973706245422363
non-shuffled,0,0.5,0.9857500195503235,0.6272974014282227
non-shuffled,1,0.05,0.8818750381469727,0.5467748641967773
non-shuffled,1,0.1,0.9415000677108765,0.6102805137634277
non-shuffled,1,0.2,0.9686250686645508,0.5826222896575928
non-shuffled,1,0.3,0.9815000295639038,0.6703274250030518
non-shuffled,1,0.4,0.9862500429153442,0.6276624202728271
non-shuffled,1,0.5,0.9862500429153442,0.6248469352722168
non-shuffled,2,0.05,0.8887500166893005,0.6181671619415283
non-shuffled,2,0.1,0.9423750638961792,1.1128382682800293
non-shuffled,2,0.2,0.9806250333786011,0.5973217487335205
non-shuffled,2,0.3,0.9822500348091125,0.6943557262420654
non-shuffled,2,0.4,0.9831250309944153,0.7341639995574951
non-shuffled,2,0.5,0.986750066280365,0.6664245128631592
non-shuffled,3,0.05,0.8707500696182251,0.6012983322143555
non-shuffled,3,0.1,0.9395000338554382,0.5901861190795898
non-shuffled,3,0.2,0.971625030040741,0.6589605808258057
non-shuffled,3,0.3,0.9805000424385071,0.6991291046142578
non-shuffled,3,0.4,0.9816250205039978,0.6464338302612305
non-shuffled,3,0.5,0.9863750338554382,0.6976926326751709
non-shuffled,4,0.05,0.8852500319480896,0.5575902462005615
non-shuffled,4,0.1,0.9477500319480896,0.5315244197845459
non-shuffled,4,0.2,0.9746250510215759,0.6547346115112305
non-shuffled,4,0.3,0.9816250205039978,0.6432473659515381
non-shuffled,4,0.4,0.9826250672340393,0.7032175064086914
non-shuffled,4,0.5,0.986875057220459,0.6545860767364502
non-shuffled,5,0.05,0.8918750286102295,0.5845499038696289
non-shuffled,5,0.1,0.9411250352859497,0.5947833061218262
non-shuffled,5,0.2,0.971625030040741,0.5852866172790527
non-shuffled,5,0.3,0.9805000424385071,0.6696853637695312
non-shuffled,5,0.4,0.9852500557899475,0.6403069496154785
non-shuffled,5,0.5,0.987250030040741,1.3838231563568115
non-shuffled,6,0.05,0.8982500433921814,0.59393310546875
non-shuffled,6,0.1,0.9407500624656677,0.5738897323608398
non-shuffled,6,0.2,0.9785000681877136,0.640392541885376
non-shuffled,6,0.3,0.983375072479248,0.6816422939300537
non-shuffled,6,0.4,0.9826250672340393,0.6876897811889648
non-shuffled,6,0.5,0.986875057220459,0.772071123123169
non-shuffled,7,0.05,0.8888750672340393,0.6109316349029541
non-shuffled,7,0.1,0.9376250505447388,0.5998721122741699
non-shuffled,7,0.2,0.9776250720024109,0.637765645980835
non-shuffled,7,0.3,0.9845000505447388,0.6651930809020996
non-shuffled,7,0.4,0.9855000376701355,0.7022490501403809
non-shuffled,7,0.5,0.9865000247955322,0.7436397075653076
non-shuffled,8,0.05,0.8702500462532043,0.5678884983062744
non-shuffled,8,0.1,0.9455000162124634,0.6357195377349854
non-shuffled,8,0.2,0.9725000262260437,0.6493210792541504
non-shuffled,8,0.3,0.9785000681877136,0.7610483169555664
non-shuffled,8,0.4,0.9845000505447388,0.7695252895355225
non-shuffled,8,0.5,0.987250030040741,0.7247071266174316
non-shuffled,9,0.05,0.8762500286102295,0.5331919193267822
non-shuffled,9,0.1,0.9378750324249268,0.5683047771453857
non-shuffled,9,0.2,0.9778750538825989,1.258932113647461
non-shuffled,9,0.3,0.9847500324249268,0.7244970798492432
non-shuffled,9,0.4,0.9856250286102295,0.7656717300415039
non-shuffled,9,0.5,0.9863750338554382,0.7212579250335693
shuffled,0,0.05,0.8983750343322754,0.9117062091827393
shuffled,0,0.1,0.9607500433921814,0.6574695110321045
shuffled,0,0.2,0.9803750514984131,0.5417568683624268
shuffled,0,0.3,0.983375072479248,0.627079963684082
shuffled,0,0.4,0.9857500195503235,0.6338069438934326
shuffled,0,0.5,0.9857500195503235,0.6118531227111816
shuffled,1,0.05,0.9387500286102295,0.6014740467071533
shuffled,1,0.1,0.9606250524520874,0.7112846374511719
shuffled,1,0.2,0.9792500734329224,1.3476002216339111
shuffled,1,0.3,0.9851250648498535,0.6286015510559082
shuffled,1,0.4,0.9863750338554382,0.7221221923828125
shuffled,1,0.5,0.9865000247955322,0.6921963691711426
shuffled,2,0.05,0.9316250681877136,0.5996770858764648
shuffled,2,0.1,0.9652500748634338,0.6376063823699951
shuffled,2,0.2,0.9800000190734863,0.6330246925354004
shuffled,2,0.3,0.9820000529289246,0.7228481769561768
shuffled,2,0.4,0.9857500195503235,0.7268154621124268
shuffled,2,0.5,0.987000048160553,0.709723711013794
shuffled,3,0.05,0.9330000281333923,0.5581264495849609
shuffled,3,0.1,0.9647500514984131,0.5462222099304199
shuffled,3,0.2,0.9770000576972961,0.6178295612335205
shuffled,3,0.3,0.9817500710487366,0.710503101348877
shuffled,3,0.4,0.9850000739097595,0.681999683380127
shuffled,3,0.5,0.987000048160553,0.6451582908630371
shuffled,4,0.05,0.8917500376701355,0.5736715793609619
shuffled,4,0.1,0.9580000638961792,0.5416350364685059
shuffled,4,0.2,0.9761250615119934,0.6296207904815674
shuffled,4,0.3,0.983500063419342,0.7014279365539551
shuffled,4,0.4,0.986625075340271,0.7151761054992676
shuffled,4,0.5,0.9863750338554382,1.6013920307159424
shuffled,5,0.05,0.9311250448226929,0.5690062046051025
shuffled,5,0.1,0.9631250500679016,0.576103925704956
shuffled,5,0.2,0.9776250720024109,0.6810839176177979
shuffled,5,0.3,0.9826250672340393,0.7286269664764404
shuffled,5,0.4,0.9862500429153442,0.7159650325775146
shuffled,5,0.5,0.9856250286102295,0.786128044128418
shuffled,6,0.05,0.921500027179718,0.5452947616577148
shuffled,6,0.1,0.9641250371932983,0.5497632026672363
shuffled,6,0.2,0.9802500605583191,0.5767307281494141
shuffled,6,0.3,0.983625054359436,0.7036552429199219
shuffled,6,0.4,0.986625075340271,0.7603130340576172
shuffled,6,0.5,0.9862500429153442,0.7358541488647461
shuffled,7,0.05,0.9275000691413879,0.5191717147827148
shuffled,7,0.1,0.9600000381469727,0.6037628650665283
shuffled,7,0.2,0.9780000448226929,0.6054172515869141
shuffled,7,0.3,0.983875036239624,0.6982157230377197
shuffled,7,0.4,0.987375020980835,0.6666655540466309
shuffled,7,0.5,0.9876250624656677,0.6633138656616211
shuffled,8,0.05,0.9168750643730164,0.6290829181671143
shuffled,8,0.1,0.9563750624656677,0.5262620449066162
shuffled,8,0.2,0.9767500758171082,1.4177181720733643
shuffled,8,0.3,0.9826250672340393,0.7112998962402344
shuffled,8,0.4,0.9860000610351562,0.7017393112182617
shuffled,8,0.5,0.987125039100647,0.6912245750427246
shuffled,9,0.05,0.9257500171661377,0.6073970794677734
shuffled,9,0.1,0.9575000405311584,0.5613667964935303
shuffled,9,0.2,0.9803750514984131,0.6202998161315918
shuffled,9,0.3,0.983875036239624,0.6733181476593018
shuffled,9,0.4,0.9848750233650208,0.7102959156036377
shuffled,9,0.5,0.9865000247955322,0.6615252494812012
