mode,k_frac,mean,std,sem,ci_lo,ci_hi,n
non-shuffled,0.05,0.885137540102005,0.010337602289041787,0.003269036877834234,0.8777424649131781,0.8925326152908318,10
non-shuffled,0.1,0.9421750426292419,0.003699749726385875,0.0011699635907964127,0.9395284011120433,0.9448216841464405,10
non-shuffled,0.2,0.9745250463485717,0.003915696018461334,0.0012382518043190544,0.9717239261600144,0.9773261665371291,10
non-shuffled,0.3,0.9817875444889068,0.001974706872954046,0.0006244571429723537,0.9803749242900365,0.9832001646877772,10
non-shuffled,0.4,0.9842500448226928,0.0016061936408543294,0.0005079230268378159,0.9831010431093532,0.9853990465360325,10
non-shuffled,0.5,0.9866250395774842,0.000467712214546144,0.00014790358874471513,0.9862904584147935,0.9869596207401748,10
shuffled,0.05,0.9216250419616699,0.015348159765825155,0.004853514275216403,0.9106456298789746,0.9326044540443653,10
shuffled,0.1,0.9610500514507294,0.003166228638879254,0.00100124940917132,0.958785067927969,0.9633150349734898,10
shuffled,0.2,0.9785750567913055,0.0016606066132919704,0.0005251299195541068,0.9773871303823572,0.9797629832002538,10
shuffled,0.3,0.9832375586032868,0.001005967637202119,0.00031811489859766295,0.9825179327068134,0.9839571844997601,10
shuffled,0.4,0.9860625445842743,0.0007620571377778613,0.00024098362625667874,0.9855174017480073,0.9866076874205414,10
shuffled,0.5,0.9865750372409821,0.0006241768419192402,0.00019738204831956633,0.9861285280265571,0.987021546455407,10
