mode,seed,k_frac,test_acc,elapsed_sec
non-shuffled,0,0.05,0.8826250433921814,0.7767961025238037
non-shuffled,0,0.1,0.9545000195503235,0.6284539699554443
non-shuffled,0,0.2,0.9748750329017639,0.5402421951293945
non-shuffled,0,0.3,0.9831250309944153,0.595189094543457
non-shuffled,0,0.4,0.9856250286102295,0.4584236145019531
non-shuffled,0,0.5,0.987125039100647,0.5208296775817871
non-shuffled,1,0.05,0.8982500433921814,0.9765503406524658
non-shuffled,1,0.1,0.9542500376701355,0.5317566394805908
non-shuffled,1,0.2,0.9770000576972961,0.532332181930542
non-shuffled,1,0.3,0.9816250205039978,0.5549440383911133
non-shuffled,1,0.4,0.9851250648498535,0.6707472801208496
non-shuffled,1,0.5,0.9862500429153442,0.7320563793182373
non-shuffled,2,0.05,0.9078750610351562,0.5273215770721436
non-shuffled,2,0.1,0.9537500739097595,0.5902016162872314
non-shuffled,2,0.2,0.9722500443458557,0.6326861381530762
non-shuffled,2,0.3,0.9796250462532043,0.6265308856964111
non-shuffled,2,0.4,0.9822500348091125,0.5977804660797119
non-shuffled,2,0.5,0.9858750700950623,0.5977473258972168
non-shuffled,3,0.05,0.9008750319480896,0.5196406841278076
non-shuffled,3,0.1,0.9413750171661377,0.5341427326202393
non-shuffled,3,0.2,0.9757500290870667,0.5048441886901855
non-shuffled,3,0.3,0.9815000295639038,0.6310436725616455
non-shuffled,3,0.4,0.9846250414848328,0.5855555534362793
non-shuffled,3,0.5,0.9863750338554382,0.649160623550415
non-shuffled,4,0.05,0.9022500514984131,0.5352275371551514
non-shuffled,4,0.1,0.9510000348091125,0.5239930152893066
non-shuffled,4,0.2,0.9738750457763672,0.5877346992492676
non-shuffled,4,0.3,0.9817500710487366,0.6287143230438232
non-shuffled,4,0.4,0.9843750596046448,0.5805201530456543
non-shuffled,4,0.5,0.986875057220459,0.5794394016265869
non-shuffled,5,0.05,0.9045000672340393,0.5166592597961426
non-shuffled,5,0.1,0.9488750696182251,1.2670950889587402
non-shuffled,5,0.2,0.9750000238418579,0.6840596199035645
non-shuffled,5,0.3,0.984000027179718,0.6331310272216797
non-shuffled,5,0.4,0.98375004529953,0.6008684635162354
non-shuffled,5,0.5,0.9848750233650208,0.6241245269775391
non-shuffled,6,0.05,0.8941250443458557,0.4972562789916992
non-shuffled,6,0.1,0.955625057220459,0.5643811225891113
non-shuffled,6,0.2,0.9746250510215759,0.5507550239562988
non-shuffled,6,0.3,0.984000027179718,0.6084799766540527
non-shuffled,6,0.4,0.9862500429153442,0.5900788307189941
non-shuffled,6,0.5,0.9856250286102295,0.6146306991577148
non-shuffled,7,0.05,0.905875027179718,0.5105135440826416
non-shuffled,7,0.1,0.9472500681877136,0.5259807109832764
non-shuffled,7,0.2,0.9778750538825989,0.4937169551849365
non-shuffled,7,0.3,0.9815000295639038,0.6121869087219238
non-shuffled,7,0.4,0.9842500686645508,0.5977919101715088
non-shuffled,7,0.5,0.986625075340271,0.6013655662536621
non-shuffled,8,0.05,0.9082500338554382,0.4932408332824707
non-shuffled,8,0.1,0.9495000243186951,0.5070087909698486
non-shuffled,8,0.2,0.9780000448226929,0.552426815032959
non-shuffled,8,0.3,0.9810000658035278,0.5997636318206787
non-shuffled,8,0.4,0.9852500557899475,0.5773773193359375
non-shuffled,8,0.5,0.987250030040741,0.5899813175201416
non-shuffled,9,0.05,0.9010000228881836,0.47442078590393066
