mode,k_frac,mean,std,sem,ci_lo,ci_hi,n
non-shuffled,0.05,0.9005625426769257,0.007659247710277759,0.0024220667927907164,0.8950834469327031,0.9060416384211483,10
non-shuffled,0.1,0.9506375432014466,0.0042750333095583,0.0013518842331291902,0.9475793686001238,0.9536957178027693,10
non-shuffled,0.2,0.975100040435791,0.0021415270394099075,0.0006772103115372479,0.9735680842787884,0.9766319965927936,10
non-shuffled,0.3,0.9821875393390656,0.0014651563953224326,0.0004633231337580959,0.9811394295933187,0.9832356490848124,10
non-shuffled,0.4,0.9846125483512879,0.0010999535320393688,0.00034783584815913993,0.9838256889958772,0.9853994077066985,10
non-shuffled,0.5,0.9863500475883484,0.0007283980708485871,0.00023033969471542313,0.9858289829980583,0.9868711121786385,10
shuffled,0.05,0.9141375482082367,0.01003509400807336,0.0031733753599419946,0.9069588744073191,0.9213162220091542,10
shuffled,0.1,0.9585500478744506,0.0030631082502165785,0.000968639879033734,0.9563588322338683,0.960741263515033,10
shuffled,0.2,0.9785375475883484,0.0009091507597240179,0.0002874987137200372,0.9778871803137953,0.9791879148629016,10
shuffled,0.3,0.9835625350475311,0.001298037596566816,0.00041047552936818973,0.9826339748885945,0.9844910952064677,10
shuffled,0.4,0.9858375430107117,0.0005337556555829999,0.0001687883585638648,0.98545571721638,0.9862193688050434,10
shuffled,0.5,0.9868500471115113,0.0010253689674869382,0.0003242501379313862,0.9861165423394334,0.9875835518835892,10
