mode,seed,k_frac,test_acc,elapsed_sec
non-shuffled,0,0.05,0.8235000371932983,0.7743346691131592
non-shuffled,0,0.1,0.8868750333786011,0.5375776290893555
non-shuffled,0,0.2,0.9263750314712524,0.5516359806060791
non-shuffled,0,0.3,0.9407500624656677,0.5644893646240234
non-shuffled,0,0.4,0.9488750696182251,0.5458834171295166
non-shuffled,0,0.5,0.9493750333786011,0.568821907043457
non-shuffled,1,0.05,0.830875039100647,0.5383560657501221
non-shuffled,1,0.1,0.8895000219345093,0.558563232421875
non-shuffled,1,0.2,0.9275000691413879,0.5588669776916504
non-shuffled,1,0.3,0.9395000338554382,0.5491499900817871
non-shuffled,1,0.4,0.9488750696182251,0.558300256729126
non-shuffled,1,0.5,0.9502500295639038,0.573127269744873
non-shuffled,2,0.05,0.8201250433921814,0.48212623596191406
non-shuffled,2,0.1,0.8928750157356262,0.48413515090942383
non-shuffled,2,0.2,0.9266250729560852,0.5620710849761963
non-shuffled,2,0.3,0.9407500624656677,0.6165547370910645
non-shuffled,2,0.4,0.9456250667572021,0.6079127788543701
non-shuffled,2,0.5,0.9506250619888306,1.2279636859893799
non-shuffled,3,0.05,0.8197500109672546,0.5365772247314453
non-shuffled,3,0.1,0.8940000534057617,0.5558226108551025
non-shuffled,3,0.2,0.9291250705718994,0.5961980819702148
non-shuffled,3,0.3,0.9427500367164612,0.6190009117126465
non-shuffled,3,0.4,0.9451250433921814,0.6692578792572021
non-shuffled,3,0.5,0.9518750309944153,0.670018196105957
non-shuffled,4,0.05,0.8172500133514404,0.5251309871673584
non-shuffled,4,0.1,0.8883750438690186,0.4911191463470459
non-shuffled,4,0.2,0.9257500171661377,0.5873174667358398
non-shuffled,4,0.3,0.9393750429153442,0.6009500026702881
non-shuffled,4,0.4,0.9487500190734863,0.6054461002349854
non-shuffled,4,0.5,0.9506250619888306,0.6269471645355225
non-shuffled,5,0.05,0.8291250467300415,0.46752047538757324
non-shuffled,5,0.1,0.8815000653266907,0.5037775039672852
non-shuffled,5,0.2,0.9296250343322754,0.4984285831451416
non-shuffled,5,0.3,0.9410000443458557,0.6133127212524414
non-shuffled,5,0.4,0.9465000629425049,0.6868040561676025
non-shuffled,5,0.5,0.9515000581741333,0.6324605941772461
non-shuffled,6,0.05,0.811625063419342,0.5243785381317139
non-shuffled,6,0.1,0.8860000371932983,0.5267317295074463
non-shuffled,6,0.2,0.9282500147819519,0.5577821731567383
non-shuffled,6,0.3,0.9376250505447388,0.6323709487915039
non-shuffled,6,0.4,0.9478750228881836,0.6426854133605957
non-shuffled,6,0.5,0.9496250748634338,1.3706741333007812
non-shuffled,7,0.05,0.8208750486373901,0.5436146259307861
non-shuffled,7,0.1,0.8910000324249268,0.5919437408447266
non-shuffled,7,0.2,0.9283750653266907,0.5907683372497559
non-shuffled,7,0.3,0.9397500157356262,0.6094706058502197
non-shuffled,7,0.4,0.9460000395774841,0.6212353706359863
