mode,k_frac,mean,std,sem,ci_lo,ci_hi,n
non-shuffled,0.05,0.8226625382900238,0.006135913594871767,0.001940346248578644,0.8182731701253845,0.8270519064546631,10
non-shuffled,0.1,0.8891500353813171,0.003684042541449619,0.001164996542793607,0.8865146301073362,0.891785440655298,10
non-shuffled,0.2,0.9278875470161438,0.0013391187155631726,0.00042346651985387945,0.9269295991950275,0.9288454948372602,10
non-shuffled,0.3,0.9404750406742096,0.0014658121609795857,0.00046353050506688797,0.9394264618219712,0.941523619526448,10
non-shuffled,0.4,0.9471250474452972,0.001394432641539376,0.000440958319094955,0.9461275304252365,0.948122564465358,10
non-shuffled,0.5,0.950575053691864,0.0008253782549932337,0.0002610075216953863,0.949984613657102,0.9511654937266261,10
shuffled,0.05,0.8051000356674194,0.011057580038699584,0.00349671383319035,0.7971899194232168,0.813010151911622,10
shuffled,0.1,0.8853000283241272,0.004962783569063533,0.0015693699612700307,0.8817498668250722,0.8888501898231823,10
shuffled,0.2,0.9261250495910645,0.0025597187497666536,0.0008094541418701222,0.924293937106031,0.9279561620760979,10
shuffled,0.3,0.9391125500202179,0.0020543360108096903,0.0006496380873462909,0.9376429665676647,0.9405821334727711,10
shuffled,0.4,0.9450000405311585,0.0021690768445599418,0.0006859223248740423,0.9434483764307832,0.9465517046315338,10
shuffled,0.5,0.9485875427722931,0.0010541751406471843,0.000333359449717345,0.9478334313053098,0.9493416542392763,10
