mode,k_frac,mean,std,sem,ci_lo,ci_hi,n
non-shuffled,0.05,0.8106125473976136,0.012962079567239937,0.004098969464480786,0.8013400342632181,0.819885060532009,10
non-shuffled,0.1,0.8848625361919403,0.005560114009151687,0.0017582624319129622,0.8808850702374111,0.8888400021464695,10
non-shuffled,0.2,0.927812534570694,0.0023762745825345586,0.0007514440026774976,0.9261126501375534,0.9295124190038346,10
non-shuffled,0.3,0.9413000524044037,0.0018048934020053321,0.0005707574084146767,0.9400089094447064,0.9425911953641011,10
non-shuffled,0.4,0.9459125399589539,0.0016719141361054809,0.0005287056722326077,0.9447165246354713,0.9471085552824364,10
non-shuffled,0.5,0.9487125456333161,0.0016853665822934394,0.0005329597092380876,0.9475069070095505,0.9499181842570816,10
shuffled,0.05,0.8069875478744507,0.008411186032938186,0.0026598505687480717,0.8009705478582357,0.8130045478906657,10
shuffled,0.1,0.8845125317573548,0.0037097237605940732,0.0011731176573522466,0.8818587552459047,0.8871663082688048,10
shuffled,0.2,0.9245750367641449,0.0015813566686186695,0.0005000688865931109,0.9234438023504178,0.925706271177872,10
shuffled,0.3,0.9387250363826751,0.0022281298671918887,0.0007045965302974847,0.9371311282947405,0.9403189444706097,10
shuffled,0.4,0.9443625450134278,0.0018460246751755753,0.000583764259042731,0.943041978513416,0.9456831115134395,10
shuffled,0.5,0.948537540435791,0.0009034062914888827,0.0002856821533630857,0.9478912825062611,0.9491837983653209,10
