mode,seed,k_frac,test_acc,elapsed_sec
non-shuffled,0,0.05,0.8075000643730164,0.8484947681427002
non-shuffled,0,0.1,0.877875030040741,0.6006646156311035
non-shuffled,0,0.2,0.924375057220459,0.5743832588195801
non-shuffled,0,0.3,0.9397500157356262,0.5413720607757568
non-shuffled,0,0.4,0.9472500681877136,0.5149121284484863
non-shuffled,0,0.5,0.9493750333786011,0.5371451377868652
non-shuffled,1,0.05,0.8050000667572021,0.5097265243530273
non-shuffled,1,0.1,0.8877500295639038,0.5005691051483154
non-shuffled,1,0.2,0.9291250705718994,0.49662208557128906
non-shuffled,1,0.3,0.9423750638961792,0.5143375396728516
non-shuffled,1,0.4,0.9468750357627869,0.5583703517913818
non-shuffled,1,0.5,0.9477500319480896,0.5722227096557617
non-shuffled,2,0.05,0.8092500567436218,0.4642801284790039
non-shuffled,2,0.1,0.8847500681877136,0.5206210613250732
non-shuffled,2,0.2,0.9253750443458557,0.5478527545928955
non-shuffled,2,0.3,0.937000036239624,1.2674496173858643
non-shuffled,2,0.4,0.9456250667572021,0.6919834613800049
non-shuffled,2,0.5,0.9493750333786011,0.6506538391113281
non-shuffled,3,0.05,0.8242500424385071,0.484053373336792
non-shuffled,3,0.1,0.8810000419616699,0.5683043003082275
non-shuffled,3,0.2,0.9257500171661377,0.5154826641082764
non-shuffled,3,0.3,0.9380000233650208,0.6240601539611816
non-shuffled,3,0.4,0.9447500705718994,0.6255459785461426
non-shuffled,3,0.5,0.9470000267028809,0.6561198234558105
non-shuffled,4,0.05,0.8171250224113464,0.5024302005767822
non-shuffled,4,0.1,0.8807500600814819,0.48381996154785156
non-shuffled,4,0.2,0.9265000224113464,0.5728485584259033
non-shuffled,4,0.3,0.9411250352859497,0.6113884449005127
non-shuffled,4,0.4,0.9470000267028809,0.6119992733001709
non-shuffled,4,0.5,0.9496250748634338,0.6304640769958496
non-shuffled,5,0.05,0.8082500100135803,0.5099503993988037
non-shuffled,5,0.1,0.8923750519752502,0.5533642768859863
non-shuffled,5,0.2,0.924250066280365,0.5735790729522705
non-shuffled,5,0.3,0.940000057220459,0.5924980640411377
non-shuffled,5,0.4,0.9461250305175781,0.6732041835784912
non-shuffled,5,0.5,0.9505000710487366,0.6349501609802246
non-shuffled,6,0.05,0.8070000410079956,0.5016729831695557
non-shuffled,6,0.1,0.8851250410079956,0.5092792510986328
non-shuffled,6,0.2,0.924625039100647,0.5871758460998535
non-shuffled,6,0.3,0.9408750534057617,1.340071678161621
non-shuffled,6,0.4,0.9458750486373901,0.7615571022033691
non-shuffled,6,0.5,0.9502500295639038,0.6536276340484619
non-shuffled,7,0.05,0.8047500252723694,0.5072453022003174
non-shuffled,7,0.1,0.8836250305175781,0.5272819995880127
non-shuffled,7,0.2,0.9305000305175781,0.5787410736083984
non-shuffled,7,0.3,0.9422500729560852,0.6316261291503906
non-shuffled,7,0.4,0.9460000395774841,0.6039371490478516
non-shuffled,7,0.5,0.9488750696182251,0.637484073638916
non-shuffled,8,0.05,0.8007500171661377,0.4676077365875244
