coord,dataset,model,d,n_seeds,n_k_lowk,lowk_mean_gap,lowk_gap_min,lowk_gap_max,sig_holm_lowk
randproj,cifar10,r50,1,10,6,0.01956666906674703,0.0066299915313720705,0.04233999848365784,3
randproj,cifar10,r50,2,10,6,0.02516833742459615,0.010670018196105958,0.057109993696212766,6
randproj,cifar10,r50,3,10,6,0.02607000271479289,0.011740005016326905,0.054799997806549074,6
randproj,cifar10,r50,5,10,6,0.028459995985031128,0.01408001184463501,0.05756999254226684,6
randproj,cifar10,r50,8,10,6,0.02533166507879893,0.012639999389648438,0.05226998329162598,6
randproj,cifar10,vit,1,10,6,-0.000436664621035258,-0.0036199986934661865,0.003690004348754883,1
randproj,cifar10,vit,2,10,6,-0.0005566636721293131,-0.0017900049686431884,0.0005500078201293946,0
randproj,cifar10,vit,3,10,6,0.0015850067138671873,-0.0002699911594390869,0.0062800109386444095,0
randproj,cifar10,vit,5,10,6,-0.0008383363485336303,-0.0034099936485290526,0.0013999998569488525,0
randproj,cifar10,vit,8,10,6,-0.0022633284330368045,-0.004429996013641357,-0.0011699914932250977,0
randproj,cifar100,r50,1,10,6,0.03140833377838135,0.01509000062942505,0.05365999639034271,6
randproj,cifar100,r50,2,10,6,0.043866658210754396,0.021999984979629517,0.07011999487876892,6
randproj,cifar100,r50,3,10,6,0.048346664508183805,0.026739996671676636,0.07377999722957611,6
randproj,cifar100,r50,5,10,6,0.05351499567429224,0.03236998319625854,0.08222999572753906,6
randproj,cifar100,r50,8,10,6,0.045379996796449024,0.025519979000091553,0.0727599948644638,6
randproj,cifar100,vit,1,10,6,-0.0017499943574269615,-0.005240005254745483,0.0001800060272216797,0
randproj,cifar100,vit,2,10,6,-0.00013499657313028972,-0.001419997215270996,0.001949995756149292,0
randproj,cifar100,vit,3,10,6,-0.0011766701936721802,-0.004429996013641357,0.00021999478340148926,0
randproj,cifar100,vit,5,10,6,-0.0028483331203460697,-0.006309998035430908,-0.0015899956226348877,0
randproj,cifar100,vit,8,10,6,-0.0025133301814397177,-0.005590003728866577,-0.0008699953556060791,0
randproj,stl10,r50,1,10,6,0.019868749380111694,0.0005249917507171631,0.06647500395774841,3
randproj,stl10,r50,2,10,6,0.02045416831970215,0.003112494945526123,0.0675000011920929,3
randproj,stl10,r50,3,10,6,0.02557083865006765,0.006024998426437378,0.06681249141693116,6
randproj,stl10,r50,5,10,6,0.023720831672350565,0.003962492942810059,0.07706249952316284,3
randproj,stl10,r50,8,10,6,0.01756250063578288,0.0005874991416931153,0.05288749933242798,3
randproj,stl10,vit,1,10,6,0.0003895809253056844,-0.0009624958038330078,0.0032624900341033936,0
randproj,stl10,vit,2,10,6,-0.001689588030179342,-0.008275002241134644,2.499222755432129e-05,0
randproj,stl10,vit,3,10,6,-0.0005624969800313314,-0.001412498950958252,0.0012250125408172607,0
randproj,stl10,vit,5,10,6,-0.001189577579498291,-0.004274994134902954,0.0002750039100646973,0
randproj,stl10,vit,8,10,6,-0.0023333340883255004,-0.006262481212615967,-0.00011250972747802734,0
pca,cifar10,r50,1,10,6,-0.003095002969106038,-0.013499999046325683,0.019780004024505617,3
pca,cifar10,r50,2,10,6,0.0012166639169057213,-0.008240002393722533,0.01782001256942749,1
pca,cifar10,r50,3,10,6,0.009336665272712708,-0.0019799947738647463,0.03277000188827515,2
pca,cifar10,r50,5,10,6,0.0074666698773701995,0.00026999711990356446,0.030000001192092896,2
pca,cifar10,r50,8,10,6,0.009046664834022522,0.00018000006675720215,0.03156999349594116,1
