dataset,coord,k_frac,n_seeds,orig_mean,null_mean,gap,ci_lo,ci_hi,cohens_dz,hodges_lehmann,p_two_sided,holm_p,bh_p,sig_holm,sig_bh
imagenet100_ds96,geo_r,0.05,5,0.4594399929046631,0.30535998940467834,0.15408000349998474,0.1139734441631759,0.19418656283679359,4.7701821435840825,0.15450000762939453,0.0004375649442972664,0.007876168997350795,0.002917099628648443,True,True
imagenet100_ds96,geo_r,0.1,5,0.6003999829292297,0.4503199875354767,0.15007999539375305,0.1135056188886902,0.1866543718988159,5.095067775255562,0.1541999876499176,0.00033855419362735804,0.0064325296789198025,0.002917099628648443,True,True
imagenet100_ds96,geo_r,0.15,5,0.6599199652671814,0.5504799842834472,0.10943998098373413,0.07671586509194422,0.14216409687552403,4.152524236283489,0.1070999801158905,0.0007483517515124844,0.012721979775712234,0.003741758757562422,True,True
imagenet100_ds96,geo_r,0.2,5,0.6947999715805053,0.6175999879837036,0.07719998359680176,0.06052555872580737,0.09387440846779616,5.748710437432522,0.07739996910095215,0.00021115805329332494,0.0042231610658664985,0.002917099628648443,True,True
imagenet100_ds96,geo_r,0.25,5,0.7241199851036072,0.6564799785614014,0.06764000654220581,0.0450776174249414,0.09020239565947022,3.722396618780901,0.0706000030040741,0.0011382676844128785,0.018212282950606055,0.004553070737651514,True,True
imagenet100_ds96,geo_r,0.3,5,0.7377599716186524,0.6921599745750427,0.04559999704360962,0.025778433918914115,0.06542156016830512,2.856478789844074,0.04629999399185181,0.0030835725184695083,0.04317001525857311,0.008810207195627166,True,True
imagenet100_ds96,geo_r,0.35,5,0.7505599737167359,0.7207599759101868,0.029799997806549072,0.01073491622645047,0.04886507938664768,1.9408038862822297,0.03130000829696655,0.012255161619839238,0.1348067778182316,0.024510323239678476,False,True
imagenet100_ds96,geo_r,0.4,5,0.7604799747467041,0.7377999782562256,0.022679996490478516,0.006758020120521777,0.038601972860435256,1.7686833887501494,0.022200018167495728,0.016749105891144894,0.16749105891144894,0.028778393679203873,False,True
imagenet100_ds96,geo_r,0.45,5,0.7663999795913696,0.7525599837303162,0.013839995861053467,-0.009415529950995599,0.03709552167310253,0.738948013252642,0.012899994850158691,0.1738095976085233,0.8690479880426165,0.21726199701065413,False,False
imagenet100_ds96,geo_r,0.5,5,0.7738799810409546,0.765399980545044,0.008480000495910644,-0.007235394976689142,0.02419539596851043,0.6699997679905956,0.0073999762535095215,0.20845145998796458,0.8690479880426165,0.24523701175054657,False,False
imagenet100_ds96,geo_r,0.55,5,0.7741599678993225,0.7723599910736084,0.0017999768257141112,-0.014755631854662507,0.01835558550609073,0.13499753861296634,0.001199960708618164,0.7777997552983867,1.0,0.8187365845246176,False,False
imagenet100_ds96,geo_r,0.6,5,0.7781999826431274,0.7817599892616272,-0.003560006618499756,-0.012191810175378709,0.005071796938379197,-0.512098314382464,-0.0040000081062316895,0.3160307956502146,0.9480923869506437,0.35114532850023844,False,False
imagenet100_ds96,geo_r,0.65,5,0.7800399780273437,0.7882799625396728,-0.008239984512329102,-0.014078155065397372,-0.0024018139592608314,-1.7524825665359427,-0.008699983358383179,0.017267036207522325,0.16749105891144894,0.028778393679203873,False,True
