dataset,model,coord,k_frac,n_seeds,orig_mean,null_mean,gap,ci_lo,ci_hi,cohens_dz,hodges_lehmann,p_two_sided,holm_p,bh_p,sig_holm,sig_bh
imagenet100,r50,geo_r,0.05,5,0.5946399807929993,0.34571999311447144,0.24891998767852783,0.16097149663656019,0.33686847872049547,3.5142727688899944,0.2655999958515167,0.0014170294686813771,0.021895227838842485,0.004723431562271257,True,True
imagenet100,r50,geo_r,0.1,5,0.7443999767303466,0.5339599788188935,0.21043999791145324,0.14146373993108285,0.2794162558918236,3.7881986764646998,0.2038000077009201,0.0010645573822118907,0.02022659026202592,0.004723431562271257,True,True
imagenet100,r50,geo_r,0.15,5,0.7952799797058105,0.6379999876022339,0.15727999210357665,0.10905398484459726,0.20550599936255604,4.049452047399629,0.16399997472763062,0.0008243537210115727,0.016487074420231455,0.004723431562271257,True,True
imagenet100,r50,geo_r,0.2,5,0.8174799799919128,0.7199199795722961,0.0975600004196167,0.06522022879948575,0.12989977203974765,3.7457512566469897,0.10500001907348633,0.0011114033661269052,0.02022659026202592,0.004723431562271257,True,True
imagenet100,r50,geo_r,0.25,5,0.830679976940155,0.7683599829673767,0.06231999397277832,0.04053550721761902,0.08410448072793762,3.5520916216191374,0.06599998474121094,0.0013605666273570696,0.021895227838842485,0.004723431562271257,True,True
imagenet100,r50,geo_r,0.3,5,0.8413599848747253,0.8029199838638306,0.03844000101089477,0.01823144602846372,0.05864855599332583,2.361849493327927,0.04000002145767212,0.006164890828037357,0.07397868993644828,0.013054299592005816,False,True
imagenet100,r50,geo_r,0.35,5,0.8472799777984619,0.8259199738502503,0.02136000394821167,0.008848881889795742,0.0338711260066276,2.1198696471947547,0.023599982261657715,0.009036048285155873,0.0873434297076155,0.015060080475259788,False,True
imagenet100,r50,geo_r,0.4,5,0.8530799746513367,0.8398799777030945,0.013199996948242188,-0.0053311840892243875,0.031731177985708764,0.8844531254588929,0.01639997959136963,0.11911507288450063,0.6089031051310734,0.14889384110562578,False,False
imagenet100,r50,geo_r,0.45,5,0.8573599815368652,0.8493199825286866,0.00803999900817871,-0.0037452339697897595,0.01982523198614718,0.8470750924238694,0.008800029754638672,0.1311258208002522,0.6089031051310734,0.15426567152970846,False,False
imagenet100,r50,geo_r,0.5,5,0.8593599796295166,0.8591599702835083,0.00020000934600830078,-0.008731323974108246,0.009131342666124849,0.027805972002346687,-0.0006999969482421875,0.9534054861039428,1.0,1.0,False,False
imagenet100,r50,geo_r,0.55,5,0.8642399907112122,0.8667999625205993,-0.002559971809387207,-0.009798770636644019,0.004678827017869605,-0.43910943071990344,-0.001199960708618164,0.3817516240100142,1.0,0.42416847112223804,False,False
imagenet100,r50,geo_r,0.6,5,0.8671599745750427,0.8728399872779846,-0.005680012702941895,-0.010103540937602167,-0.0012564844682816214,-1.5943534003744515,-0.005900025367736816,0.023478872788989746,0.16435210952292822,0.03354124684141392,False,True
imagenet100,r50,geo_r,0.65,5,0.8667199730873107,0.875439977645874,-0.008720004558563232,-0.020146796622231372,0.002706787505104908,-0.9475376522310647,-0.006800055503845215,0.1014838508551789,0.6089031051310734,0.13531180114023852,False,False
imagenet100,r50,geo_r,0.7,5,0.87079998254776,0.8771599650382995,-0.006359982490539551,-0.01004919289615596,-0.0026707720849231424,-2.1405559508579493,-0.006099969148635864,0.00873434297076155,0.0873434297076155,0.015060080475259788,False,True
imagenet100,r50,geo_r,0.75,5,0.8705599784851075,0.881279993057251,-0.010720014572143555,-0.015753256255494494,-0.005686772888792617,-2.644549376295529,-0.011200010776519775,0.00409479070314022,0.053232279140822854,0.01023697675785055,False,True
imagenet100,r50,geo_r,0.8,5,0.8724399685859681,0.88291996717453,-0.010479998588562012,-0.014772637609380598,-0.006187359567743427,-3.031383930848736,-0.010399997234344482,0.002472412288125149,0.034613772033752085,0.007064035108928997,True,True
imagenet100,r50,geo_r,0.85,5,0.8759999871253967,0.8843199729919433,-0.008319985866546632,-0.01276439184454585,-0.0038755798885474133,-2.3244111737752946,-0.00839996337890625,0.006527149796002908,0.07397868993644828,0.013054299592005816,False,True
imagenet100,r50,geo_r,0.9,5,0.8759199857711792,0.8872399926185608,-0.011320006847381592,-0.018384620918277993,-0.0042553927764851915,-1.9895842604789804,-0.010300010442733765,0.011256748793803069,0.09005399035042455,0.017318075067389336,False,True
imagenet100,r50,geo_r,0.95,5,0.8798799753189087,0.8887599825859069,-0.00888000726699829,-0.011939649673224962,-0.005820364860771619,-3.603684307937626,-0.008800029754638672,0.0012879545787554403,0.021895227838842485,0.004723431562271257,True,True
imagenet100,r50,geo_r,1.0,5,0.8899999856948853,0.8899999856948853,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,False,False
