dataset,model,coord,k_frac,n_seeds,orig_mean,null_mean,gap,ci_lo,ci_hi,cohens_dz,p_two_sided,holm_p,sig_holm
imagenet100,r50,geo_m,0.05,5,0.8157199859619141,0.34116799116134644,0.47455199480056764,0.46742007960453774,0.48168390999659755,58.32418811858172,2.0732239955582718e-08,3.7318031920048894e-07,True
imagenet100,r50,geo_m,0.1,5,0.8814399719238282,0.5121439838409424,0.3692959880828858,0.3626147780952985,0.37597719807047303,48.4496380752196,4.3531381373208805e-08,7.400334833445496e-07,True
imagenet100,r50,geo_m,0.15,5,0.8844399809837341,0.6363599824905395,0.2480799984931946,0.2454699669078264,0.2506900300785628,83.31382175244694,4.980346917396497e-09,9.960693834792994e-08,True
imagenet100,r50,geo_m,0.2,5,0.8852399706840515,0.7082959866523743,0.17694398403167727,0.17291170143440224,0.1809762666289523,38.46412959611628,1.0954594716559505e-07,1.7527351546495208e-06,True
imagenet100,r50,geo_m,0.25,5,0.8864799857139587,0.7595839858055113,0.12689599990844727,0.12204179556038733,0.13175020425650721,22.914001990202088,8.683711736469781e-07,1.2157196431057694e-05,True
imagenet100,r50,geo_m,0.3,5,0.8864799737930298,0.7940959787368775,0.09238399505615233,0.08722245889187974,0.09754553122042492,15.688767737038246,3.940097585216114e-06,2.75806830965128e-05,True
imagenet100,r50,geo_m,0.35,5,0.886359977722168,0.8165679860115052,0.06979199171066286,0.06895366731316678,0.07063031610815894,72.97339571742927,8.461440098874009e-09,1.6076736187860617e-07,True
imagenet100,r50,geo_m,0.4,5,0.8870799660682678,0.8343119812011718,0.05276798486709593,0.05062099119640564,0.054914978537786215,21.543229820022496,1.1110186222149166e-06,1.3545943214546782e-05,True
imagenet100,r50,geo_m,0.45,5,0.887719988822937,0.8477519774436951,0.03996801137924193,0.038367719899721126,0.04156830285876273,21.891953480451505,1.041995631888214e-06,1.3545943214546782e-05,True
imagenet100,r50,geo_m,0.5,5,0.8880399823188782,0.8565119886398316,0.03152799367904664,0.02996462152183069,0.0330913658362626,17.67685627518257,2.447598778171358e-06,2.212977353801636e-05,True
imagenet100,r50,geo_m,0.55,5,0.8881199717521667,0.8633919811248779,0.02472799062728881,0.02409521779036933,0.025360763464208288,34.25406115319641,1.741284020553228e-07,2.611926030829842e-06,True
imagenet100,r50,geo_m,0.6,5,0.8881999850273132,0.8688399815559386,0.019360003471374544,0.018520350845491473,0.020199656097257615,20.210490301688555,1.4337965177315634e-06,1.5771761695047197e-05,True
imagenet100,r50,geo_m,0.65,5,0.8880799889564515,0.8735119819641113,0.01456800699234011,0.013488655203842143,0.01564735878083808,11.830638793811033,1.2135356787400686e-05,7.281214072440411e-05,True
imagenet100,r50,geo_m,0.7,5,0.889359986782074,0.8768479800224304,0.012512006759643545,0.011907042889667298,0.013116970629619792,18.128780945272876,2.212977353801636e-06,2.212977353801636e-05,True
imagenet100,r50,geo_m,0.75,5,0.8895199775695801,0.8798639702796937,0.009656007289886493,0.009139764437723198,0.010172250142049788,16.395120109787584,3.3052297911811743e-06,2.6441838329449394e-05,True
imagenet100,r50,geo_m,0.8,5,0.8898799896240235,0.8822959756851196,0.007584013938903822,0.006492418103038505,0.008675609774769139,6.089874200491727,0.0001683927464339228,0.0005529497303223114,True
imagenet100,r50,geo_m,0.85,5,0.8901199698448181,0.884383978843689,0.005735991001129137,0.0052791096768009015,0.006192872325457372,11.00464721283682,1.6186026273350886e-05,8.093013136675443e-05,True
imagenet100,r50,geo_m,0.9,5,0.8897199749946594,0.8861359739303587,0.003584001064300546,0.0030933859136456432,0.004074616214955449,6.403217349076765,0.00013823743258057784,0.0005529497303223114,True
imagenet100,r50,geo_m,0.95,5,0.8896399736404419,0.8880879759788514,0.0015519976615905762,0.0008134598385846746,0.0022905354845964778,1.8419989990223267,0.014626326289872076,0.029252652579744153,True
imagenet100,r50,geo_m,1.0,5,0.8899999856948853,0.8899999856948853,0.0,0.0,0.0,,,1.0,False
