dataset,model,coord,d,k_frac,orig_mean,gap,ci_lo,ci_hi
imagenet100,r50,geo_pca,1,0.05,0.5385199904441833,0.2180799961090088,0.19495044941839246,0.24120954279962514
imagenet100,r50,geo_pca,1,0.1,0.6675199866294861,0.16647999882698059,0.11515603993068144,0.21780395772327973
imagenet100,r50,geo_pca,1,0.15,0.7078799843788147,0.08624000549316406,0.05451767458271361,0.1179623364036145
imagenet100,r50,geo_pca,1,0.2,0.7302799820899963,0.03163999319076538,0.010234347386832356,0.053045638994698406
imagenet100,r50,geo_pca,1,0.25,0.7710799813270569,0.011559998989105225,-0.009678812130896502,0.03279881010910695
imagenet100,r50,geo_pca,1,0.3,0.7870399832725525,-0.007519996166229248,-0.02427890040035658,0.009238908067898082
imagenet100,r50,geo_pca,1,0.35,0.7913599848747254,-0.029119980335235596,-0.03931242203019071,-0.018927538640280482
imagenet100,r50,geo_pca,1,0.4,0.8054399847984314,-0.0309999942779541,-0.04220047913774934,-0.01979950941815886
imagenet100,r50,geo_pca,1,0.45,0.8273999810218811,-0.022239983081817627,-0.028121812659764177,-0.016358153503871077
imagenet100,r50,geo_pca,1,0.5,0.8331199765205384,-0.025199997425079345,-0.03094919714877224,-0.01945079770138645
imagenet100,r50,geo_pca,1,0.55,0.8362799763679505,-0.02924000024795532,-0.03672133117150901,-0.021758669324401632
imagenet100,r50,geo_pca,1,0.6,0.8472799777984619,-0.021759998798370362,-0.024437106619274993,-0.01908289097746573
imagenet100,r50,geo_pca,1,0.65,0.8466799855232239,-0.027679991722106934,-0.0352361267424077,-0.020123856701806168
imagenet100,r50,geo_pca,1,0.7,0.8553999900817871,-0.02155998945236206,-0.02504064986369105,-0.018079329041033067
imagenet100,r50,geo_pca,1,0.75,0.858959972858429,-0.020280003547668457,-0.022162424411589096,-0.018397582683747818
imagenet100,r50,geo_pca,1,0.8,0.8595999836921692,-0.022559988498687743,-0.026983539966042455,-0.01813643703133303
imagenet100,r50,geo_pca,1,0.85,0.8598399758338928,-0.023159992694854737,-0.03026311157687487,-0.016056873812834604
imagenet100,r50,geo_pca,1,0.9,0.8673199772834778,-0.017279982566833496,-0.02009474349389922,-0.014465221639767776
imagenet100,r50,geo_pca,1,0.95,0.876919960975647,-0.010360014438629151,-0.012278020746786893,-0.008442008130471409
imagenet100,r50,geo_pca,1,1.0,0.8899999856948853,0.0,0.0,0.0
imagenet100,r50,geo_pca,2,0.05,0.5867999792098999,0.2511599898338318,0.213087249479845,0.2892327301878186
