dataset,coord,k_frac,n_seeds,orig_mean,null_mean,gap,ci_lo,ci_hi,cohens_dz,hodges_lehmann,p_two_sided,holm_p,bh_p,sig_holm,sig_bh
imagenet100_sub45k,geo_r,0.05,5,0.5835999846458435,0.3468399941921234,0.2367599904537201,0.1987973777696369,0.2747226031378033,7.743838887166699,0.24130000174045563,6.528161761255784e-05,0.0013056323522511568,0.0013056323522511568,True,True
imagenet100_sub45k,geo_r,0.1,5,0.728600001335144,0.5357199907302856,0.1928800106048584,0.11956132030161001,0.2661987009081068,3.26645448998974,0.19340002536773682,0.0018684985021165514,0.029147894660617304,0.006228328340388505,True,True
imagenet100_sub45k,geo_r,0.15,5,0.7884399771690369,0.6441199779510498,0.14431999921798705,0.09562187408537554,0.19301812435059856,3.6797504372456364,0.14559996128082275,0.0011894298550273227,0.020220307535464485,0.005947149275136614,True,True
imagenet100_sub45k,geo_r,0.2,5,0.8209599733352662,0.7201999664306641,0.10076000690460205,0.07374853891338191,0.1277714748958222,4.6317391218009,0.10140001773834229,0.0004905844198022117,0.009321103976242022,0.0036523300096252616,True,True
imagenet100_sub45k,geo_r,0.25,5,0.8271999835968018,0.7716399788856506,0.05556000471115112,0.019257767674426142,0.0918622417478761,1.9003472849366734,0.050600022077560425,0.013165363225198437,0.1448189954771828,0.026330726450396875,False,True
imagenet100_sub45k,geo_r,0.3,5,0.8419599771499634,0.7937199831008911,0.04823999404907227,0.030025625052712206,0.06645436304543233,3.288495137891781,0.04800000786781311,0.0018217434162885815,0.029147894660617304,0.006228328340388505,True,True
imagenet100_sub45k,geo_r,0.35,5,0.8477199792861938,0.8113199830055237,0.036399996280670165,0.01927044751158879,0.05352954504975154,2.6385146232245353,0.037400007247924805,0.004129131171888825,0.05367870523455472,0.009979622714303006,False,True
imagenet100_sub45k,geo_r,0.4,5,0.8483199715614319,0.8381999731063843,0.010119998455047607,-0.022788358956059768,0.043028355866154985,0.3818372818349517,0.017099976539611816,0.441324025173941,1.0,0.5192047354987541,False,False
imagenet100_sub45k,geo_r,0.45,5,0.8599999785423279,0.848639988899231,0.011359989643096924,-0.0024525405624046277,0.025172519848598474,1.0211952444587538,0.0104999840259552,0.08446347553992517,0.7601712798593265,0.1407724592332086,False,False
imagenet100_sub45k,geo_r,0.5,5,0.8581599831581116,0.8565199732780456,0.001640009880065918,-0.01777877466810482,0.021058794428236653,0.10486450476469951,0.0042000412940979,0.8261226952570465,1.0,0.8696028371126806,False,False
