dataset,arm,seed,k_frac,k_neurons,reference,jaccard,jaccard_null_expected,calib
cifar10,geo_m,0,0.05,102,magnitude,0.29936305732484075,0.02553830746119179,full_train
cifar10,geo_m,0,0.05,102,variance,0.5111111111111111,0.02553830746119179,full_train
cifar10,geo_m,0,0.05,102,rate,0.1590909090909091,0.02553830746119179,full_train
cifar10,geo_m,0,0.05,102,probe_weight,0.36,0.02553830746119179,full_train
cifar10,geo_m,0,0.1,204,magnitude,0.4117647058823529,0.052415210688591986,full_train
cifar10,geo_m,0,0.1,204,variance,0.6126482213438735,0.052415210688591986,full_train
cifar10,geo_m,0,0.1,204,rate,0.2326283987915408,0.052415210688591986,full_train
cifar10,geo_m,0,0.1,204,probe_weight,0.3289902280130293,0.052415210688591986,full_train
cifar10,geo_m,0,0.2,409,magnitude,0.41278065630397237,0.11093029563330621,full_train
cifar10,geo_m,0,0.2,409,variance,0.5404896421845574,0.11093029563330621,full_train
cifar10,geo_m,0,0.2,409,rate,0.23939393939393938,0.11093029563330621,full_train
cifar10,geo_m,0,0.2,409,probe_weight,0.4226086956521739,0.11093029563330621,full_train
cifar10,geo_m,0,0.5,1024,magnitude,0.7195633921074727,0.3333333333333333,full_train
cifar10,geo_m,0,0.5,1024,variance,0.8107869142351901,0.3333333333333333,full_train
cifar10,geo_m,0,0.5,1024,rate,0.6087981146897093,0.3333333333333333,full_train
cifar10,geo_m,0,0.5,1024,probe_weight,0.617693522906793,0.3333333333333333,full_train
cifar10,geo_m,1,0.05,102,magnitude,0.2911392405063291,0.02553830746119179,full_train
cifar10,geo_m,1,0.05,102,variance,0.5,0.02553830746119179,full_train
cifar10,geo_m,1,0.05,102,rate,0.13333333333333333,0.02553830746119179,full_train
cifar10,geo_m,1,0.05,102,probe_weight,0.34210526315789475,0.02553830746119179,full_train
cifar10,geo_m,1,0.1,204,magnitude,0.38305084745762713,0.052415210688591986,full_train
cifar10,geo_m,1,0.1,204,variance,0.5572519083969466,0.052415210688591986,full_train
cifar10,geo_m,1,0.1,204,rate,0.2215568862275449,0.052415210688591986,full_train
cifar10,geo_m,1,0.1,204,probe_weight,0.3289902280130293,0.052415210688591986,full_train
cifar10,geo_m,1,0.2,409,magnitude,0.610236220472441,0.11093029563330621,full_train
cifar10,geo_m,1,0.2,409,variance,0.7978021978021979,0.11093029563330621,full_train
cifar10,geo_m,1,0.2,409,rate,0.3840947546531303,0.11093029563330621,full_train
cifar10,geo_m,1,0.2,409,probe_weight,0.450354609929078,0.11093029563330621,full_train
cifar10,geo_m,1,0.5,1024,magnitude,0.7534246575342466,0.3333333333333333,full_train
cifar10,geo_m,1,0.5,1024,variance,0.8433843384338434,0.3333333333333333,full_train
cifar10,geo_m,1,0.5,1024,rate,0.6370903277378097,0.3333333333333333,full_train
cifar10,geo_m,1,0.5,1024,probe_weight,0.617693522906793,0.3333333333333333,full_train
cifar10,geo_m,2,0.05,102,magnitude,0.45714285714285713,0.02553830746119179,full_train
cifar10,geo_m,2,0.05,102,variance,0.7142857142857143,0.02553830746119179,full_train
cifar10,geo_m,2,0.05,102,rate,0.20710059171597633,0.02553830746119179,full_train
cifar10,geo_m,2,0.05,102,probe_weight,0.29936305732484075,0.02553830746119179,full_train
cifar10,geo_m,2,0.1,204,magnitude,0.5055350553505535,0.052415210688591986,full_train
cifar10,geo_m,2,0.1,204,variance,0.7510729613733905,0.052415210688591986,full_train
cifar10,geo_m,2,0.1,204,rate,0.2870662460567823,0.052415210688591986,full_train
cifar10,geo_m,2,0.1,204,probe_weight,0.3246753246753247,0.052415210688591986,full_train
cifar10,geo_m,2,0.2,409,magnitude,0.4954296160877514,0.11093029563330621,full_train
cifar10,geo_m,2,0.2,409,variance,0.6458752515090543,0.11093029563330621,full_train
cifar10,geo_m,2,0.2,409,rate,0.30462519936204147,0.11093029563330621,full_train
cifar10,geo_m,2,0.2,409,probe_weight,0.450354609929078,0.11093029563330621,full_train
cifar10,geo_m,2,0.5,1024,magnitude,0.6911643270024773,0.3333333333333333,full_train
cifar10,geo_m,2,0.5,1024,variance,0.7808695652173913,0.3333333333333333,full_train
cifar10,geo_m,2,0.5,1024,rate,0.5863671572424477,0.3333333333333333,full_train
cifar10,geo_m,2,0.5,1024,probe_weight,0.610062893081761,0.3333333333333333,full_train
cifar10,geo_m,3,0.05,102,magnitude,0.18604651162790697,0.02553830746119179,full_train
cifar10,geo_m,3,0.05,102,variance,0.3509933774834437,0.02553830746119179,full_train
cifar10,geo_m,3,0.05,102,rate,0.030303030303030304,0.02553830746119179,full_train
