dataset,model,coord_mode,null_kind,k_frac,n_seeds,orig_mean,null_mean,gap,ci_lo,ci_hi,raw_p,holm_p,bh_p,sig_holm,sig_bh
cifar10,r50,geo_r,mean of 5 permutations,0.05,10,0.7972299754619598,0.7403879845142364,0.05684199094772337,0.04690581464087414,0.0667781672545726,0.0009765625,0.01953125,0.0027901785714285715,True,True
cifar10,r50,geo_r,mean of 5 permutations,0.1,10,0.8454299867153168,0.8105779802799224,0.03485200643539428,0.02800348324818213,0.04170052962260643,0.0009765625,0.01953125,0.0027901785714285715,True,True
cifar10,r50,geo_r,mean of 5 permutations,0.15,10,0.8627199828624725,0.8400059807300568,0.022714002132415766,0.01870975590972729,0.02671824835510424,0.0009765625,0.01953125,0.0027901785714285715,True,True
cifar10,r50,geo_r,mean of 5 permutations,0.2,10,0.874729984998703,0.8549439787864686,0.019786006212234485,0.015699302702702,0.02387270972176697,0.0009765625,0.01953125,0.0027901785714285715,True,True
cifar10,r50,geo_r,mean of 5 permutations,0.25,10,0.8833299696445465,0.8679839789867401,0.015345990657806386,0.012124286568291887,0.018567694747320885,0.0009765625,0.01953125,0.0027901785714285715,True,True
cifar10,r50,geo_r,mean of 5 permutations,0.3,10,0.8863099753856659,0.8756059753894807,0.01070399999618531,0.008442014578441286,0.012965985413929335,0.0009765625,0.01953125,0.0027901785714285715,True,True
cifar10,r50,geo_r,mean of 5 permutations,0.35,10,0.8898999810218811,0.8818259739875793,0.008074007034301755,0.00534651811981786,0.01080149594878565,0.0009765625,0.01953125,0.0027901785714285715,True,True
cifar10,r50,geo_r,mean of 5 permutations,0.4,10,0.8923799693584442,0.8866859793663024,0.005693989992141735,0.001665175656474731,0.00972280432780874,0.009765625,0.1171875,0.021701388888888888,False,True
cifar10,r50,geo_r,mean of 5 permutations,0.45,10,0.8963599801063538,0.8907699763774872,0.005590003728866577,0.0034353200490751853,0.007744687408657969,0.001953125,0.025390625,0.0048828125,True,True
cifar10,r50,geo_r,mean of 5 permutations,0.5,10,0.8967199742794036,0.8939419734477998,0.0027780008316039993,-0.0001236804337672935,0.0056796820969752925,0.0244140625,0.2685546875,0.048828125,False,True
cifar10,r50,geo_r,mean of 5 permutations,0.55,10,0.8991699814796448,0.8966339814662933,0.002536000013351458,-0.0009929240423180675,0.0060649240690209836,0.1376953125,1.0,0.25035511363636365,False,False
