knob,config,value,n_k,gap_mean,gap_lowk,gap_at_0.05,orig_k05,orig_mean
calibration split,cifar10 / r50 / geo_m,0,20,0.02211000621318817,0.05375000834465027,0.1152999997138977,0.8513000011444092,0.8994349807500839
calibration split,cifar10 / r50 / geo_m,1,20,0.02070498764514923,0.047116647164026894,0.09810000658035278,0.8453999757766724,0.8994799733161927
calibration split,cifar10 / r50 / geo_m,2,20,0.020500001311302186,0.046133339405059814,0.1097000241279602,0.8500999808311462,0.9005949795246124
calibration split,cifar10 / r50 / geo_m,3,20,0.020205000042915346,0.0467166801293691,0.10900002717971802,0.8504999876022339,0.9001349776983261
calibration split,cifar10 / r50 / geo_m,4,20,0.0195250004529953,0.04519999027252197,0.09270000457763672,0.8420999646186829,0.8997649818658828
calibration split,imagenet100 / r50 / geo_m,0,20,0.09074999392032623,0.2534333070119222,0.4965999722480774,0.8255999684333801,0.8844499737024307
calibration split,imagenet100 / r50 / geo_m,1,20,0.08877999484539031,0.24820000926653543,0.5,0.8276000022888184,0.8845799744129181
calibration split,imagenet100 / r50 / geo_m,2,20,0.08793999403715133,0.2467666616042455,0.46439996361732483,0.81659996509552,0.8841399818658828
calibration split,imagenet100 / r50 / geo_m,3,20,0.09033999890089035,0.2522999892632167,0.4747999608516693,0.8247999548912048,0.8843199789524079
calibration split,imagenet100 / r50 / geo_m,4,20,0.08669999986886978,0.24049998819828033,0.47859999537467957,0.8109999895095825,0.8836999803781509
calibration split,imagenet100 / r50 / geo_r,0,20,0.04714000523090363,0.16196665167808533,0.3073999881744385,0.6363999843597412,0.8425599843263626
calibration split,imagenet100 / r50 / geo_r,1,20,0.04574999958276749,0.14876666168371835,0.2985999882221222,0.6161999702453613,0.8419499814510345
calibration split,imagenet100 / r50 / geo_r,2,20,0.04184000790119171,0.14323333899180093,0.26759999990463257,0.6092000007629395,0.839099982380867
calibration split,imagenet100 / r50 / geo_r,3,20,0.0427700012922287,0.1383666694164276,0.26579999923706055,0.5839999914169312,0.8393499791622162
calibration split,imagenet100 / r50 / geo_r,4,20,0.030460000038146973,0.11339999238650005,0.20739996433258057,0.5291999578475952,0.8252099812030792
projection seed,cifar10 / r50 / geo_r,0,20,0.007745000720024109,0.025800009568532307,0.056500017642974854,0.7976999878883362,0.8878749787807465
projection seed,cifar10 / r50 / geo_r,1,20,0.010044997930526734,0.02656666437784831,0.05570000410079956,0.7896999716758728,0.8880549788475036
projection seed,cifar10 / r50 / geo_r,2,20,-0.0019349932670593261,0.008316665887832642,0.031800031661987305,0.7764999866485596,0.880354979634285
projection seed,cifar10 / r50 / geo_r,3,20,0.008550003170967102,0.02838332454363505,0.05899995565414429,0.8032999634742737,0.8873899757862092
projection seed,cifar10 / r50 / geo_r,4,20,0.004369997978210449,0.022083332141240437,0.041900038719177246,0.7930999994277954,0.8834349751472473
projection seed,imagenet100 / r50 / geo_r,0,20,0.044349999725818635,0.15403332809607187,0.27239999175071716,0.6349999904632568,0.8413999795913696
projection seed,imagenet100 / r50 / geo_r,1,20,0.05495999455451965,0.18093333641688028,0.3203999996185303,0.6417999863624573,0.8488699823617936
projection seed,imagenet100 / r50 / geo_r,2,20,0.031220000982284547,0.1209333340326945,0.23519998788833618,0.5773999691009521,0.8271999776363372
projection seed,imagenet100 / r50 / geo_r,3,20,0.05052999854087829,0.1589666803677877,0.2598000168800354,0.6096000075340271,0.8474299788475037
projection seed,imagenet100 / r50 / geo_r,4,20,0.040129995346069335,0.14279998342196146,0.27559998631477356,0.5979999899864197,0.8325699776411056
