config,n_k_points,maxiter,popsize,ridge_solves_per_k,mean_s,median_s,sd_s,min_s,max_s,sum_hours,ms_per_solve
cifar10 / r50 / geo_m,200,20,8,163,5.493340705633163,5.556212782859802,3.123772886179066,0.6048860549926758,12.225611448287964,0.305185594757398,33.70147672167585
cifar10 / r50 / geo_r,200,20,8,163,4.777223504781723,3.6031311750411987,3.4370004499553826,0.6088314056396484,11.772006273269653,0.26540130582120686,29.308119661237566
cifar10 / r50 / geo_pca,200,20,8,163,4.730124678611755,3.5822670459747314,3.403405512564189,0.5588932037353516,11.689144849777222,0.26278470436731977,29.019169807434082
cifar10 / vit / geo_m,200,20,8,163,1.2808581137657165,1.131075143814087,0.615571508158565,0.46367788314819336,2.5530624389648438,0.07115878409809537,7.858025237826482
cifar10 / vitmae / geo_r,200,20,8,163,1.2828632199764252,1.1033329963684082,0.6292002296393271,0.4651198387145996,2.5776569843292236,0.07127017888757918,7.870326502922854
stl10 / r50 / geo_m,200,20,8,163,1.0818250668048859,0.9611655473709106,0.4970657706974052,0.353717565536499,2.116992950439453,0.06010139260027144,6.636963600029975
imagenet100 / r50 / geo_m,100,20,8,163,13.256460292339325,9.911148190498352,9.996606060830157,1.036128044128418,41.496033906936646,0.3682350081205368,81.32797725361549
imagenet100 / r50 / geo_r,100,20,8,163,12.17624050617218,9.212838649749756,8.869752787885549,1.0639002323150635,30.888234853744507,0.33822890294922725,74.70086200105632
imagenet100 / r50 / geo_pca,100,20,8,163,15.747281725406646,10.26746678352356,12.152552302217773,1.3493194580078125,46.4453706741333,0.4374244923724069,96.60909033991808
cifar10 / r50 / geo_m maxiter40,200,40,8,323,11.81141457438469,8.785396575927734,8.789487789687174,1.0012142658233643,30.647605895996094,0.6561896985769272,36.56784697951916
