mode,k_frac,mean,std,sem,ci_lo,ci_hi,n
geo_r,0.05,0.5915882349014282,0.13840449139525193,0.030948185115106802,0.5268129390152299,0.6563635307876265,20
geo_r,0.1,0.6102603554725647,0.12695007331022365,0.028386899367024182,0.5508458922673164,0.6696748186778131,20
geo_r,0.15,0.6379194021224975,0.14098285864054177,0.0315247255582495,0.5719373932204623,0.7039014110245327,20
geo_r,0.2,0.7018889307975769,0.16041023278724986,0.03586881847988562,0.6268146309159727,0.776963230679181,20
geo_r_shuffled,0.05,0.5606373071670532,0.15732957557490884,0.04975198021243069,0.4480905087633277,0.6731841055707787,10
geo_r_shuffled,0.1,0.5818355560302735,0.14657557713355973,0.046351267309574305,0.47698170467855494,0.686689407381992,10
geo_r_shuffled,0.15,0.6036552429199219,0.1528615225277457,0.04833905777888157,0.4943046971198068,0.713005788720037,10
geo_r_shuffled,0.2,0.6591951608657837,0.17155507731457603,0.054250478848034286,0.5364720515514381,0.7819182701801293,10
kwta,0.05,0.17133400440216065,0.3298074021727298,0.10429425800489917,-0.06459599838817548,0.4072640071924968,10
kwta,0.1,0.07167260646820069,0.013604637278760481,0.0043021640541318195,0.06194043523737296,0.08140477769902842,10
kwta,0.15,0.06904716491699218,0.004758684494758456,0.0015048281669564317,0.06564300710024709,0.07245132273373728,10
kwta,0.2,0.07010498046875,0.0032092591442328174,0.001014856849749853,0.06780921477681681,0.07240074616068318,10
random,0.05,0.13969459533691406,0.2580753899122403,0.08161060401587214,-0.04492141710244063,0.32431060777626874,10
random,0.1,0.06398682594299317,0.005829113803327565,0.0018433276358841896,0.05981692912799083,0.0681567227579955,10
random,0.15,0.06240854263305664,0.007461212660340753,0.0023594426113561044,0.05707111262943425,0.06774597263667903,10
random,0.2,0.05988047122955322,0.005202951056625103,0.0016453175893315027,0.056158504259677125,0.06360243819942932,10
