mode,seed,k_frac,test_acc,elapsed_sec
geo_r,500,0.05,0.8210999965667725,1.587876558303833
geo_r,500,0.1,0.8622999787330627,1.2292139530181885
geo_r,500,0.15,0.8768999576568604,1.4410068988800049
geo_r,500,0.2,0.8837999701499939,1.9064502716064453
geo_r,500,0.25,0.8904999494552612,2.175787925720215
geo_r,500,0.3,0.8971999883651733,2.7677109241485596
geo_r,500,0.35,0.8952999711036682,3.53401780128479
geo_r,500,0.4,0.8998000025749207,3.9110593795776367
geo_r,500,0.45,0.9009999632835388,4.8427815437316895
geo_r,500,0.5,0.9010999798774719,5.3083741664886475
geo_r,500,0.55,0.9027999639511108,5.867958068847656
geo_r,500,0.6,0.9043999910354614,7.935141563415527
geo_r,500,0.65,0.9057999849319458,7.4561779499053955
geo_r,500,0.7,0.9074999690055847,9.075007200241089
geo_r,500,0.75,0.9063999652862549,7.279600381851196
geo_r,500,0.8,0.9078999757766724,9.062577962875366
geo_r,500,0.85,0.9003999829292297,10.409297227859497
geo_r,500,0.9,0.9102999567985535,9.977703094482422
geo_r,500,0.95,0.9092999696731567,11.3541841506958
geo_r,500,1.0,0.9106000065803528,11.19294261932373
geo_r,501,0.05,0.7849999666213989,1.080712080001831
geo_r,501,0.1,0.8507999777793884,1.527355432510376
geo_r,501,0.15,0.8522999882698059,1.8071081638336182
geo_r,501,0.2,0.883899986743927,2.207091808319092
geo_r,501,0.25,0.8880999684333801,2.5347635746002197
geo_r,501,0.3,0.8894000053405762,3.1701552867889404
geo_r,501,0.35,0.8924999833106995,3.9498422145843506
geo_r,501,0.4,0.8958999514579773,4.331451416015625
geo_r,501,0.45,0.9009000062942505,5.152266025543213
geo_r,501,0.5,0.9002999663352966,5.122866868972778
geo_r,501,0.55,0.9025999903678894,5.927068710327148
geo_r,501,0.6,0.9035999774932861,7.563494682312012
geo_r,501,0.65,0.9048999547958374,7.725098609924316
geo_r,501,0.7,0.902899980545044,8.732259511947632
geo_r,501,0.75,0.906499981880188,8.625061273574829
geo_r,501,0.8,0.9070000052452087,9.976828813552856
geo_r,501,0.85,0.9070000052452087,10.389423608779907
geo_r,501,0.9,0.9039999842643738,10.672223091125488
geo_r,501,0.95,0.9083999991416931,12.108476638793945
geo_r,501,1.0,0.9106000065803528,10.90552544593811
geo_r,502,0.05,0.7906999588012695,1.082423210144043
geo_r,502,0.1,0.8406999707221985,1.3951642513275146
geo_r,502,0.15,0.8743999600410461,1.670271873474121
geo_r,502,0.2,0.8854999542236328,2.126629114151001
geo_r,502,0.25,0.8919999599456787,2.3595147132873535
geo_r,502,0.3,0.8958999514579773,3.0016632080078125
geo_r,502,0.35,0.8955000042915344,3.7009217739105225
geo_r,502,0.4,0.8988999724388123,4.020415544509888
geo_r,502,0.45,0.8999999761581421,4.936395168304443
geo_r,502,0.5,0.9031999707221985,4.92779016494751
geo_r,502,0.55,0.9072999954223633,5.618225812911987
geo_r,502,0.6,0.9071999788284302,7.082975387573242
geo_r,502,0.65,0.9090999960899353,7.205463171005249
geo_r,502,0.7,0.9080999493598938,7.97821569442749
geo_r,502,0.75,0.9085999727249146,8.017807722091675
geo_r,502,0.8,0.9088999629020691,9.513587236404419
geo_r,502,0.85,0.9080999493598938,10.186459302902222
geo_r,502,0.9,0.9084999561309814,9.919372320175171
geo_r,502,0.95,0.9085999727249146,11.267066478729248
geo_r,502,1.0,0.9106000065803528,10.696063995361328
geo_r,503,0.05,0.8260999917984009,1.0613625049591064
geo_r,503,0.1,0.8652999997138977,1.4020581245422363
geo_r,503,0.15,0.8736000061035156,1.5999603271484375
geo_r,503,0.2,0.8860999941825867,2.0235462188720703
geo_r,503,0.25,0.889799952507019,2.4139347076416016
geo_r,503,0.3,0.8959999680519104,3.044358968734741
geo_r,503,0.35,0.9004999995231628,3.641737461090088
geo_r,503,0.4,0.9007999897003174,4.080900430679321
geo_r,503,0.45,0.9009999632835388,4.909106969833374
geo_r,503,0.5,0.9048999547958374,4.967550039291382
geo_r,503,0.55,0.9071999788284302,5.806900978088379
geo_r,503,0.6,0.9070999622344971,7.0075843334198
geo_r,503,0.65,0.9045999646186829,7.4108946323394775
geo_r,503,0.7,0.9070999622344971,8.49842357635498
geo_r,503,0.75,0.9065999984741211,7.690147161483765
geo_r,503,0.8,0.9079999923706055,9.359625577926636
geo_r,503,0.85,0.9107999801635742,9.64835810661316
geo_r,503,0.9,0.9044999480247498,9.926013946533203
geo_r,503,0.95,0.9101999998092651,11.8681640625
geo_r,503,1.0,0.9106000065803528,11.058910608291626
geo_r,504,0.05,0.8197999596595764,1.061018943786621
geo_r,504,0.1,0.8517000079154968,1.4015882015228271
geo_r,504,0.15,0.8779999613761902,1.6669244766235352
geo_r,504,0.2,0.8812999725341797,2.086251974105835
geo_r,504,0.25,0.8928999900817871,2.383535861968994
geo_r,504,0.3,0.8951999545097351,3.0416924953460693
geo_r,504,0.35,0.8953999876976013,3.6758456230163574
geo_r,504,0.4,0.9019999504089355,4.272475719451904
geo_r,504,0.45,0.903499960899353,5.0325164794921875
geo_r,504,0.5,0.9060999751091003,5.2030723094940186
geo_r,504,0.55,0.9019999504089355,6.1946375370025635
geo_r,504,0.6,0.902999997138977,7.273293972015381
geo_r,504,0.65,0.9074999690055847,7.822434186935425
geo_r,504,0.7,0.9047999978065491,8.453004837036133
geo_r,504,0.75,0.9074999690055847,8.031818628311157
geo_r,504,0.8,0.9086999893188477,9.545584440231323
geo_r,504,0.85,0.9099999666213989,10.06127405166626
geo_r,504,0.9,0.9077999591827393,10.507082223892212
geo_r,504,0.95,0.9080999493598938,12.182402849197388
geo_r,504,1.0,0.9106000065803528,11.006414890289307
geo_r,505,0.05,0.8307999968528748,1.1989266872406006
geo_r,505,0.1,0.8646999597549438,1.4673593044281006
geo_r,505,0.15,0.8761000037193298,1.7634022235870361
geo_r,505,0.2,0.8818999528884888,2.16975736618042
geo_r,505,0.25,0.8919000029563904,2.4945662021636963
geo_r,505,0.3,0.897599995136261,3.201509952545166
geo_r,505,0.35,0.8984999656677246,3.894958734512329
geo_r,505,0.4,0.9001999497413635,4.31909966468811
geo_r,505,0.45,0.905299961566925,5.153805494308472
geo_r,505,0.5,0.9025999903678894,5.21954083442688
geo_r,505,0.55,0.9063999652862549,6.05972695350647
geo_r,505,0.6,0.906499981880188,7.264922380447388
geo_r,505,0.65,0.9037999510765076,7.699619770050049
geo_r,505,0.7,0.909500002861023,9.019619464874268
geo_r,505,0.75,0.9078999757766724,8.35254454612732
geo_r,505,0.8,0.9055999517440796,9.584768295288086
geo_r,505,0.85,0.9106000065803528,10.418537139892578
geo_r,505,0.9,0.9096999764442444,10.805480718612671
geo_r,505,0.95,0.9083999991416931,11.92566442489624
geo_r,505,1.0,0.9106000065803528,11.031069040298462
geo_r,506,0.05,0.7870000004768372,1.1328368186950684
geo_r,506,0.1,0.8579999804496765,1.4489126205444336
geo_r,506,0.15,0.8764999508857727,1.7208337783813477
geo_r,506,0.2,0.885699987411499,2.1949410438537598
geo_r,506,0.25,0.8919000029563904,2.533230781555176
geo_r,506,0.3,0.8953999876976013,3.1443562507629395
geo_r,506,0.35,0.8923999667167664,3.7329626083374023
geo_r,506,0.4,0.9013999700546265,4.33385443687439
geo_r,506,0.45,0.9010999798774719,5.222100734710693
geo_r,506,0.5,0.9049999713897705,5.371158838272095
geo_r,506,0.55,0.9035999774932861,5.959931135177612
geo_r,506,0.6,0.9084999561309814,7.201595306396484
geo_r,506,0.65,0.9074999690055847,7.206205368041992
geo_r,506,0.7,0.9083999991416931,7.668057203292847
geo_r,506,0.75,0.9074999690055847,7.461127281188965
geo_r,506,0.8,0.9068999886512756,8.806557893753052
geo_r,506,0.85,0.9062999486923218,9.551979303359985
geo_r,506,0.9,0.9084999561309814,10.558168649673462
geo_r,506,0.95,0.9071999788284302,11.886666774749756
geo_r,506,1.0,0.9106000065803528,11.308492422103882
geo_r,507,0.05,0.8082999587059021,1.1461679935455322
geo_r,507,0.1,0.857699990272522,1.4660968780517578
geo_r,507,0.15,0.8727999925613403,1.7660760879516602
geo_r,507,0.2,0.8823999762535095,2.150036096572876
geo_r,507,0.25,0.8908999562263489,2.5629732608795166
geo_r,507,0.3,0.8938999772071838,3.097574472427368
