mode,k_frac,mean,std,sem,ci_lo,ci_hi,n
bestof_random（160）,0.05,0.6325333118438721,0.35192612288236813,0.11128881164205846,0.38078052944226887,0.8842860942454753,10
bestof_random（160）,0.1,0.7286797761917114,0.07395801352215473,0.02338757739515408,0.675773400465459,0.7815861519179639,10
bestof_random（160）,0.15,0.8744242191314697,0.06019256553398079,0.019034560529632857,0.8313650516875808,0.9174833865753587,10
bestof_random（160）,0.2,1.158005428314209,0.07349543278824414,0.023241296523067105,1.1054299629105366,1.2105808937178812,10
geo_m,0.05,1.1394370079040528,0.35321530539248575,0.11169648694722092,0.8867619998907575,1.392112015917348,10
geo_m,0.1,1.3487229108810426,0.11771719477005714,0.037225445523904166,1.2645131026487078,1.4329327191133774,10
geo_m,0.15,1.777765965461731,0.40479329714015616,0.12800688005322164,1.4881942848547303,2.067337646068732,10
geo_m,0.2,2.0382730960845947,0.09528624608245483,0.030132156730785363,1.9701094219038062,2.106436770265383,10
geo_r,0.05,1.1655426502227784,0.1554086888691303,0.049144542500690905,1.0543699713896528,1.276715329055904,10
geo_r,0.1,1.4231931209564208,0.0807916986763161,0.025548578385116958,1.365398221361789,1.4809880205510526,10
geo_r,0.15,1.6942831993103027,0.10795517668915279,0.0341384243543638,1.6170567181285258,1.7715096804920796,10
geo_r,0.2,2.1328986644744874,0.10339964932520396,0.03269784011303369,2.05893101125293,2.206866317696045,10
kwta,0.05,0.5255877494812011,0.2982340837022659,0.09430989803924619,0.31224393810368056,0.7389315608587217,10
kwta,0.1,0.5321419954299926,0.11883067659766472,0.037577559394748855,0.4471356502825862,0.6171483405773991,10
kwta,0.15,0.5754280328750611,0.13329137881897973,0.04215043495323003,0.48007712452819595,0.6707789412219262,10
kwta,0.2,0.5986692905426025,0.03186967064279386,0.010078074751063105,0.5758711015567061,0.621467479528499,10
random,0.05,0.5156265497207642,0.2979054995055005,0.09420599059275463,0.3025177933175984,0.7287353061239299,10
random,0.1,0.4410792112350464,0.019825475152517622,0.006269365717702977,0.4268969206701927,0.4552615017999001,10
random,0.15,0.49321842193603516,0.023266474407010324,0.007357505224816808,0.47657458879097936,0.509862255081091,10
random,0.2,0.5364405393600464,0.030150903424892357,0.009534552833443137,0.5148718823732622,0.5580091963468307,10
