k_frac,n_seeds,mean_nonshuffle,mean_shuffle,mean_delta_nonshuffle_minus_shuffle,ci95_lo,ci95_hi,paired_ttest_p,wilcoxon_p,paired_ttest_p_bh_fdr,wilcoxon_p_bh_fdr
0.05,10,0.8081999778747558,0.7384599804878235,0.06973999738693237,0.05305204924093823,0.08642794553292651,2.8499793836248546e-06,0.0009765625,2.8499793836248546e-06,0.0009765625
0.1,10,0.8575199842453003,0.8089999794960022,0.048520004749298094,0.042079160486768866,0.05496084901182732,1.853944738401388e-08,0.0009765625,3.707889476802776e-08,0.0009765625
0.15,10,0.8742599785327911,0.8373199820518493,0.036939996480941775,0.030388567704639192,0.04349142525724436,2.285552145440711e-07,0.0009765625,2.539502383823012e-07,0.0009765625
0.2,10,0.884229975938797,0.8552099764347076,0.029019999504089355,0.02645493417723237,0.031585064830946336,5.110895739181349e-10,0.0009765625,2.5554478695906748e-09,0.0009765625
0.25,10,0.8910499691963196,0.8660699665546417,0.024980002641677858,0.023498589966793035,0.02646141531656268,1.4518848470422725e-11,0.0009765625,1.4518848470422727e-10,0.0009765625
0.3,10,0.8945699810981751,0.8748899757862091,0.019680005311965943,0.01726167730702205,0.022098333316909836,9.41825334029131e-09,0.0009765625,2.3545633350728272e-08,0.0009765625
0.35,10,0.8965699851512909,0.8789799690246582,0.01759001612663269,0.01514905610018231,0.02003097615308307,2.7327318167621424e-08,0.0009765625,4.554553027936904e-08,0.0009765625
0.4,10,0.8997999668121338,0.8861999809741974,0.013599985837936401,0.011933558366740404,0.015266413309132398,9.184474719422474e-09,0.0009765625,2.3545633350728272e-08,0.0009765625
0.45,10,0.9017799735069275,0.8897599816322327,0.012019991874694824,0.010191884923648729,0.01384809882574092,6.06943106904271e-08,0.0009765625,8.670615812918158e-08,0.0009765625
0.5,10,0.9036999762058258,0.8938799798488617,0.009819996356964112,0.008239803467765752,0.011400189246162472,9.894160715380577e-08,0.0009765625,1.2367700894225722e-07,0.0009765625
