layer,k_frac,n,mean_non,mean_shuf,mean_delta(non-shuf),median_delta,t_stat,p_ttest_one_sided,wilcoxon_stat,p_wilcoxon_one_sided,ttest_sig@0.05,wilcoxon_sig@0.05
layer1,0.05,10,0.3985699892044067,0.40441998839378357,-0.005849999189376831,-0.004399999976158142,-1.980120800277489,0.9604778839516921,11.0,0.9580078125,False,False
layer2,0.05,10,0.5051199913024902,0.4974199891090393,0.007700002193450928,0.0051499903202056885,1.9715822817485606,0.04006894133117496,45.0,0.0419921875,True,True
layer3,0.05,10,0.6766099810600281,0.6698499858379364,0.0067599952220916745,0.008199989795684814,3.411393263974038,0.003866270799225546,51.0,0.0068359375,True,True
layer4,0.05,10,0.8028299748897553,0.7404899775981904,0.06233999729156494,0.06504997611045837,10.576502040889624,1.1199629910771772e-06,55.0,0.0009765625,True,True
layer1,0.2,10,0.5205899894237518,0.5153799831867218,0.005210006237030029,0.0065499842166900635,2.081769570963636,0.03353625276929594,45.0,0.0419921875,True,True
layer2,0.2,10,0.6322999775409699,0.6285299897193909,0.0037699878215789796,0.004799991846084595,2.4629964155299744,0.01799066729020141,47.5,0.01953125,True,True
layer3,0.2,10,0.8126999735832214,0.8071499764919281,0.005549997091293335,0.006950020790100098,2.352911793443264,0.021549499721904165,48.0,0.0185546875,True,True
layer4,0.2,10,0.884719979763031,0.8546699702739715,0.030050009489059448,0.03085002303123474,22.59514767867682,1.5440225017819104e-09,55.0,0.0009765625,True,True
layer1,0.5,10,0.5813399910926819,0.5831199824810028,-0.0017799913883209228,-0.0007999837398529053,-1.2176131540591768,0.8728345725403901,17.5,0.8447265625,False,False
layer2,0.5,10,0.7041599690914154,0.6998199760913849,0.004339993000030518,0.003949999809265137,3.4824133771104564,0.0034561156910230427,52.0,0.0048828125,True,True
layer3,0.5,10,0.8675899744033814,0.8660999774932862,0.0014899969100952148,0.0007000267505645752,1.0729305621204277,0.15561345660091555,39.0,0.1376953125,False,False
layer4,0.5,10,0.9032799780368805,0.8937199711799622,0.009560006856918301,0.009149998426437378,14.307157058611265,8.499437329171422e-08,55.0,0.0009765625,True,True
